subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
12ne,practice,1,1,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,30,50,blue,yellow,yellow,30,50,B,3546,16625,330,loss,30
12ne,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,1417,15269,339,loss,80
12ne,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,50,100,30,yellow,blue,blue,100,30,B,2699,7725,4,no_loss,0
12ne,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,1328,6483,30,no_loss,0
12ne,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,1247,7363,227,no_loss,0
12ne,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,1641,9208,64,no_loss,0
12ne,exp,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,60,50,40,blue,yellow,yellow,50,40,B,4702,10120,356,loss,50
12ne,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,1290,5629,137,no_loss,0
12ne,exp,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,100,20,yellow,blue,blue,100,20,B,1196,5840,114,no_loss,0
12ne,exp,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,100,30,blue,yellow,yellow,100,30,B,1255,4827,205,no_loss,0
12ne,exp,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,80,50,blue,yellow,yellow,80,50,B,1830,6201,255,loss,80
12ne,exp,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,70,10,blue,yellow,yellow,70,10,B,1530,6109,352,loss,70
12ne,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,20,blue,yellow,yellow,40,20,B,1078,11451,81,no_loss,0
12ne,exp,1,8,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,90,60,40,20,blue,yellow,blue,90,60,A,1360,6079,139,no_loss,0
12ne,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,1202,5987,188,no_loss,0
12ne,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,80,10,yellow,blue,blue,80,10,B,1636,4926,154,no_loss,0
12ne,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,70,50,blue,yellow,yellow,70,50,B,1653,5816,350,loss,70
12ne,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,30,yellow,blue,blue,70,30,B,2969,3715,80,no_loss,0
12ne,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,90,50,blue,yellow,yellow,90,50,B,1412,5391,315,loss,90
12ne,exp,1,14,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,80,40,blue,yellow,yellow,80,40,B,995,6965,33,no_loss,0
12ne,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,80,20,yellow,blue,blue,80,20,B,916,5462,32,no_loss,0
12ne,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,100,20,blue,yellow,yellow,100,20,B,1122,4830,253,no_loss,0
12ne,exp,1,17,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,80,70,30,yellow,blue,blue,70,30,B,809,3422,206,no_loss,0
12ne,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,1233,4114,43,no_loss,0
12ne,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,yellow,90,20,B,1015,4175,15,no_loss,0
12ne,exp,1,20,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,100,20,blue,yellow,yellow,100,20,B,1126,4034,248,no_loss,0
12ne,exp,1,21,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,50,40,20,blue,yellow,yellow,40,20,B,1649,4266,47,no_loss,0
12ne,exp,1,22,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,80,20,yellow,blue,blue,80,20,B,1196,3489,277,no_loss,0
12ne,exp,1,23,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,80,60,10,blue,yellow,blue,80,80,A,931,4491,356,loss,80
12ne,exp,1,24,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,60,40,yellow,blue,blue,60,40,B,1116,4723,277,loss,60
12ne,exp,1,25,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,60,80,blue,yellow,blue,80,90,A,1062,4565,262,loss,80
12ne,exp,1,26,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,70,30,yellow,blue,blue,70,30,B,914,2944,41,no_loss,0
12ne,exp,1,27,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,blue,60,40,B,1110,4904,264,loss,60
12ne,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,80,20,yellow,blue,blue,80,20,B,1092,5286,241,no_loss,0
12ne,exp,1,29,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,921,4978,181,no_loss,0
12ne,exp,1,30,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,50,30,blue,yellow,yellow,50,30,B,1195,3892,258,loss,50
12ne,exp,1,31,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,80,90,50,blue,yellow,yellow,90,50,B,1107,3889,262,loss,90
12ne,exp,1,32,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,40,40,blue,yellow,yellow,40,40,B,2101,5950,140,no_loss,0
12ne,exp,1,33,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,90,70,20,yellow,blue,blue,70,20,B,1376,5145,70,no_loss,0
