subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
12ne,practice,1,1,1267,688,384,none,none
12ne,practice,1,1,1282,690,371,none,none
12ne,practice,1,1,1300,691,357,none,none
12ne,practice,1,1,1321,690,343,none,none
12ne,practice,1,1,1333,689,335,none,none
12ne,practice,1,1,1350,687,327,none,none
12ne,practice,1,1,1371,682,319,none,none
12ne,practice,1,1,1383,680,315,none,none
12ne,practice,1,1,1403,676,311,none,none
12ne,practice,1,1,1416,674,309,none,none
12ne,practice,1,1,1434,671,308,none,none
12ne,practice,1,1,1452,667,306,none,none
12ne,practice,1,1,1466,664,303,none,none
12ne,practice,1,1,1483,657,301,none,none
12ne,practice,1,1,1501,648,295,none,none
12ne,practice,1,1,1516,644,292,none,none
12ne,practice,1,1,1532,638,289,none,none
12ne,practice,1,1,1549,635,286,none,none
12ne,practice,1,1,1566,631,285,none,none
12ne,practice,1,1,1590,625,281,none,none
12ne,practice,1,1,1599,624,281,none,none
12ne,practice,1,1,1617,621,279,none,none
12ne,practice,1,1,1633,616,278,none,none
12ne,practice,1,1,1649,613,277,none,none
12ne,practice,1,1,1666,608,277,none,none
12ne,practice,1,1,1683,605,277,none,none
12ne,practice,1,1,1700,600,277,none,none
12ne,practice,1,1,1716,593,282,none,none
12ne,practice,1,1,1733,570,303,none,none
12ne,practice,1,1,1750,545,331,none,none
12ne,practice,1,1,1769,523,372,none,none
12ne,practice,1,1,1783,513,392,none,none
12ne,practice,1,1,1800,503,414,none,none
12ne,practice,1,1,1818,490,449,none,none
12ne,practice,1,1,1833,486,463,none,none
12ne,practice,1,1,1850,483,478,none,none
12ne,practice,1,1,1867,481,491,left-bottom,A_amount
12ne,practice,1,1,1883,481,495,left-bottom,A_amount
12ne,practice,1,1,1899,481,501,left-bottom,A_amount
12ne,practice,1,1,1916,481,504,left-bottom,A_amount
12ne,practice,1,1,1933,481,507,left-bottom,A_amount
12ne,practice,1,1,1949,481,511,left-bottom,A_amount
12ne,practice,1,1,1966,481,513,left-bottom,A_amount
12ne,practice,1,1,1982,481,515,left-bottom,A_amount
12ne,practice,1,1,1999,481,517,left-bottom,A_amount
12ne,practice,1,1,2016,481,519,left-bottom,A_amount
12ne,practice,1,1,2032,481,520,left-bottom,A_amount
12ne,practice,1,1,2049,481,521,left-bottom,A_amount
12ne,practice,1,1,2066,481,522,left-bottom,A_amount
12ne,practice,1,1,2085,481,523,left-bottom,A_amount
12ne,practice,1,1,2133,480,523,left-bottom,A_amount
12ne,practice,1,1,2832,486,441,none,none
12ne,practice,1,1,2850,492,403,none,none
12ne,practice,1,1,2875,498,371,none,none
12ne,practice,1,1,2882,501,352,none,none
12ne,practice,1,1,2900,502,338,none,none
12ne,practice,1,1,2922,501,316,none,none
12ne,practice,1,1,2933,500,310,none,none
12ne,practice,1,1,2949,499,302,none,none
12ne,practice,1,1,2966,497,287,none,none
12ne,practice,1,1,2983,495,277,left-top,A_prob
12ne,practice,1,1,3001,494,266,left-top,A_prob
12ne,practice,1,1,3213,485,198,left-top,A_prob
12ne,practice,1,1,3224,485,197,left-top,A_prob
12ne,practice,1,1,3245,485,196,left-top,A_prob
12ne,practice,1,1,3282,485,195,left-top,A_prob
12ne,practice,1,1,3366,485,196,left-top,A_prob
