subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
15AH,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,50,30,yellow,blue,blue,50,30,B,2149,11177,42,no_loss,0
15AH,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,60,50,yellow,blue,blue,60,50,B,3894,7707,14,no_loss,0
15AH,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,100,20,yellow,blue,yellow,50,90,A,3806,8238,69,loss,50
15AH,practice,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,100,20,blue,yellow,blue,10,90,A,2638,6004,174,loss,10
15AH,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,90,10,yellow,blue,yellow,30,60,A,2616,10380,164,loss,30
15AH,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,1499,6340,172,no_loss,0
15AH,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,2296,16263,33,no_loss,0
15AH,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,70,50,yellow,blue,yellow,60,70,A,1450,5852,278,loss,60
15AH,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,30,yellow,blue,yellow,30,60,A,1787,6786,44,no_loss,0
15AH,exp,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,blue,10,90,A,1528,13260,105,loss,10
15AH,exp,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,70,40,yellow,blue,yellow,60,80,A,1659,4947,40,no_loss,0
15AH,exp,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,40,yellow,blue,yellow,10,60,A,1806,5969,154,loss,10
15AH,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,50,100,30,blue,yellow,blue,30,50,A,1118,5379,272,loss,30
15AH,exp,1,8,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,20,yellow,blue,yellow,10,90,A,1412,3968,299,loss,10
15AH,exp,1,9,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,50,70,40,blue,yellow,blue,60,50,A,808,5006,161,no_loss,0
15AH,exp,1,10,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,70,40,blue,yellow,blue,20,60,A,1063,2589,54,no_loss,0
15AH,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,blue,30,60,A,890,2548,112,no_loss,0
15AH,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,70,40,blue,yellow,blue,20,70,A,826,2355,79,no_loss,0
15AH,exp,1,13,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,80,30,yellow,blue,yellow,20,70,A,811,3615,302,loss,20
15AH,exp,1,14,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,100,20,yellow,blue,blue,100,20,B,878,5532,136,no_loss,0
15AH,exp,1,15,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,80,60,10,blue,yellow,blue,80,80,A,2248,4633,3,no_loss,0
15AH,exp,1,16,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,30,yellow,blue,yellow,60,70,A,1255,2830,280,loss,60
15AH,exp,1,17,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,40,yellow,blue,blue,60,40,B,1371,2904,213,no_loss,0
15AH,exp,1,18,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,90,30,blue,yellow,blue,20,60,A,1257,2512,220,loss,20
15AH,exp,1,19,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,40,40,yellow,blue,blue,40,40,B,1736,753,355,loss,40
15AH,exp,1,20,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,80,20,blue,yellow,blue,30,60,A,816,2972,123,no_loss,0
