subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
15AH,practice,1,1,808,775,428,none,none
15AH,practice,1,1,832,780,428,choice-button-right,A_choice_button
15AH,practice,1,1,842,782,428,choice-button-right,A_choice_button
15AH,practice,1,1,859,786,429,choice-button-right,A_choice_button
15AH,practice,1,1,876,789,429,choice-button-right,A_choice_button
15AH,practice,1,1,892,792,430,choice-button-right,A_choice_button
15AH,practice,1,1,909,794,430,choice-button-right,A_choice_button
15AH,practice,1,1,926,796,431,choice-button-right,A_choice_button
15AH,practice,1,1,942,797,431,choice-button-right,A_choice_button
15AH,practice,1,1,968,798,431,choice-button-right,A_choice_button
15AH,practice,1,1,1009,799,431,choice-button-right,A_choice_button
15AH,practice,1,1,1037,800,431,choice-button-right,A_choice_button
15AH,practice,1,1,1365,799,431,choice-button-right,A_choice_button
15AH,practice,1,1,1387,798,431,choice-button-right,A_choice_button
15AH,practice,1,1,1401,796,430,choice-button-right,A_choice_button
15AH,practice,1,1,1414,792,429,choice-button-right,A_choice_button
15AH,practice,1,1,1426,789,428,choice-button-right,A_choice_button
15AH,practice,1,1,1449,770,416,none,none
15AH,practice,1,1,1459,764,412,none,none
15AH,practice,1,1,1476,749,402,none,none
15AH,practice,1,1,1492,730,388,none,none
15AH,practice,1,1,1509,716,376,none,none
15AH,practice,1,1,1526,707,367,none,none
15AH,practice,1,1,1542,693,353,none,none
15AH,practice,1,1,1559,684,343,none,none
15AH,practice,1,1,1576,674,332,none,none
15AH,practice,1,1,1593,668,324,none,none
15AH,practice,1,1,1609,664,317,none,none
15AH,practice,1,1,1626,659,311,none,none
15AH,practice,1,1,1642,656,306,none,none
15AH,practice,1,1,1659,652,301,none,none
15AH,practice,1,1,1676,649,298,none,none
15AH,practice,1,1,1693,646,295,left-top,B_amount
15AH,practice,1,1,1711,643,291,left-top,B_amount
15AH,practice,1,1,1726,637,283,left-top,B_amount
15AH,practice,1,1,1742,634,278,left-top,B_amount
15AH,practice,1,1,1759,632,276,left-top,B_amount
15AH,practice,1,1,1775,630,273,left-top,B_amount
15AH,practice,1,1,1792,629,271,left-top,B_amount
15AH,practice,1,1,1809,628,270,left-top,B_amount
15AH,practice,1,1,1826,628,269,left-top,B_amount
15AH,practice,1,1,1946,627,268,left-top,B_amount
15AH,practice,1,1,1992,626,268,left-top,B_amount
15AH,practice,1,1,2407,627,268,left-top,B_amount
15AH,practice,1,1,2442,630,268,left-top,B_amount
15AH,practice,1,1,2459,636,267,left-top,B_amount
15AH,practice,1,1,2476,647,265,left-top,B_amount
15AH,practice,1,1,2493,669,260,none,none
15AH,practice,1,1,2509,688,258,none,none
15AH,practice,1,1,2525,718,252,none,none
15AH,practice,1,1,2542,740,247,none,none
15AH,practice,1,1,2559,764,240,none,none
15AH,practice,1,1,2575,799,228,none,none
15AH,practice,1,1,2593,818,222,none,none
15AH,practice,1,1,2609,844,216,none,none
15AH,practice,1,1,2626,857,216,none,none
15AH,practice,1,1,2643,868,216,none,none
15AH,practice,1,1,2659,879,214,right-top,A_amount
15AH,practice,1,1,2675,888,214,right-top,A_amount
15AH,practice,1,1,2692,895,214,right-top,A_amount
15AH,practice,1,1,2709,900,215,right-top,A_amount
15AH,practice,1,1,2726,902,216,right-top,A_amount
15AH,practice,1,1,2742,905,216,right-top,A_amount
15AH,practice,1,1,2759,906,216,right-top,A_amount
15AH,practice,1,1,2775,907,216,right-top,A_amount
15AH,practice,1,1,2792,910,219,right-top,A_amount
15AH,practice,1,1,2809,916,221,right-top,A_amount
15AH,practice,1,1,2825,922,225,right-top,A_amount
15AH,practice,1,1,2843,928,230,right-top,A_amount
15AH,practice,1,1,2859,932,232,right-top,A_amount
15AH,practice,1,1,2875,936,236,right-top,A_amount
15AH,practice,1,1,2892,939,237,right-top,A_amount
15AH,practice,1,1,2909,942,239,right-top,A_amount
15AH,practice,1,1,2925,944,240,right-top,A_amount
15AH,practice,1,1,2945,945,240,right-top,A_amount
15AH,practice,1,1,2959,946,240,right-top,A_amount
15AH,practice,1,1,2975,947,240,right-top,A_amount
15AH,practice,1,1,3405,945,242,right-top,A_amount
15AH,practice,1,1,3411,943,244,right-top,A_amount
15AH,practice,1,1,3425,938,249,right-top,A_amount
15AH,practice,1,1,3442,927,260,right-top,A_amount
15AH,practice,1,1,3459,912,279,right-top,A_amount
15AH,practice,1,1,3483,876,325,none,none
15AH,practice,1,1,3492,865,340,none,none
15AH,practice,1,1,3509,840,370,none,none
15AH,practice,1,1,3525,824,392,none,none
15AH,practice,1,1,3542,809,410,choice-button-right,A_choice_button
15AH,practice,1,1,3558,791,435,choice-button-right,A_choice_button
15AH,practice,1,1,3575,779,449,none,none
15AH,practice,1,1,3592,767,462,none,none
15AH,practice,1,1,3608,749,481,none,none
15AH,practice,1,1,3625,741,489,none,none
15AH,practice,1,1,3642,730,500,none,none
15AH,practice,1,1,3659,723,508,none,none
15AH,practice,1,1,3676,716,515,none,none
15AH,practice,1,1,3697,708,524,none,none
15AH,practice,1,1,3709,706,526,none,none
15AH,practice,1,1,3725,701,530,none,none
15AH,practice,1,1,3742,693,537,none,none
15AH,practice,1,1,3762,685,543,none,none
15AH,practice,1,1,3775,680,547,none,none
15AH,practice,1,1,3792,675,552,none,none
15AH,practice,1,1,3809,671,554,none,none
15AH,practice,1,1,3825,664,558,none,none
15AH,practice,1,1,3842,660,561,none,none
15AH,practice,1,1,3858,656,563,none,none
15AH,practice,1,1,3876,652,567,none,none
15AH,practice,1,1,3895,648,571,none,none
15AH,practice,1,1,3909,645,574,left-bottom,B_prob
15AH,practice,1,1,3925,644,577,left-bottom,B_prob
15AH,practice,1,1,3969,636,586,left-bottom,B_prob
15AH,practice,1,1,3975,635,587,left-bottom,B_prob
15AH,practice,1,1,3992,634,588,left-bottom,B_prob
15AH,practice,1,1,4009,633,588,left-bottom,B_prob
15AH,practice,1,1,4025,632,589,left-bottom,B_prob
15AH,practice,1,1,4112,630,588,left-bottom,B_prob
15AH,practice,1,1,4159,629,588,left-bottom,B_prob
15AH,practice,1,1,4209,628,588,left-bottom,B_prob
15AH,practice,1,1,4327,628,587,left-bottom,B_prob
15AH,practice,1,1,4375,628,586,left-bottom,B_prob
15AH,practice,1,1,4392,628,585,left-bottom,B_prob
15AH,practice,1,1,4442,628,584,left-bottom,B_prob
15AH,practice,1,1,4502,628,583,left-bottom,B_prob
15AH,practice,1,1,4542,628,582,left-bottom,B_prob
15AH,practice,1,1,4559,628,581,left-bottom,B_prob
15AH,practice,1,1,4584,628,580,left-bottom,B_prob
15AH,practice,1,1,4606,628,579,left-bottom,B_prob
15AH,practice,1,1,4642,628,577,left-bottom,B_prob
15AH,practice,1,1,4668,629,576,left-bottom,B_prob
15AH,practice,1,1,4689,630,576,left-bottom,B_prob
15AH,practice,1,1,4694,630,575,left-bottom,B_prob
15AH,practice,1,1,4712,632,575,left-bottom,B_prob
15AH,practice,1,1,4728,635,574,left-bottom,B_prob
15AH,practice,1,1,4742,641,574,left-bottom,B_prob
15AH,practice,1,1,4758,651,574,none,none
15AH,practice,1,1,4775,676,575,none,none
15AH,practice,1,1,4792,701,576,none,none
15AH,practice,1,1,4808,740,577,none,none
