subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
15NA,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,80,40,blue,yellow,blue,60,70,A,1991,6884,9,no_loss,0
15NA,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,1377,5280,24,no_loss,0
15NA,practice,1,3,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,yellow,70,20,B,1210,4744,360,loss,70
15NA,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,blue,70,40,B,1698,3628,76,no_loss,0
15NA,practice,1,5,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,90,60,80,yellow,blue,yellow,80,90,A,1065,3976,133,loss,80
15NA,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,blue,30,50,A,2124,3828,178,no_loss,0
15NA,exp,1,1,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,30,50,blue,yellow,blue,50,70,A,1859,8936,136,loss,50
15NA,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,80,30,yellow,blue,blue,80,30,B,1498,6986,323,loss,80
15NA,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,90,30,yellow,blue,yellow,40,90,A,1320,3748,258,loss,40
15NA,exp,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,10,blue,yellow,yellow,80,10,B,766,11952,184,no_loss,0
15NA,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,974,4351,34,no_loss,0
15NA,exp,1,6,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,1094,3295,110,no_loss,0
15NA,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,100,20,yellow,blue,yellow,50,90,A,3587,6554,182,loss,50
15NA,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,80,30,yellow,blue,yellow,60,80,A,1017,4875,62,no_loss,0
15NA,exp,1,9,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,1131,8586,113,no_loss,0
15NA,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,50,40,blue,yellow,yellow,50,40,B,957,14910,286,loss,50
15NA,exp,1,11,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,70,50,yellow,blue,blue,70,50,B,1346,1919,333,loss,70
15NA,exp,1,12,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,50,40,yellow,blue,yellow,20,60,A,808,2506,313,loss,20
15NA,exp,1,13,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,90,30,yellow,blue,yellow,20,60,A,1004,5968,23,no_loss,0
15NA,exp,1,14,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,100,20,yellow,blue,yellow,60,70,A,912,2954,4,no_loss,0
15NA,exp,1,15,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,60,70,50,blue,yellow,yellow,70,50,B,871,3374,25,no_loss,0
15NA,exp,1,16,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,963,3101,21,no_loss,0
15NA,exp,1,17,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,90,60,80,yellow,blue,blue,60,80,B,1302,4709,344,loss,60
15NA,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,50,30,blue,yellow,yellow,50,30,B,687,2904,187,no_loss,0
15NA,exp,1,19,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,50,yellow,blue,blue,50,50,B,4025,4136,201,loss,50
15NA,exp,1,20,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,60,20,yellow,blue,yellow,30,90,A,2983,5399,310,loss,30
15NA,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,yellow,20,60,A,1033,4948,329,loss,20
15NA,exp,1,22,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,1001,5421,114,no_loss,0
15NA,exp,1,23,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,100,20,yellow,blue,yellow,10,90,A,789,7077,172,loss,10
15NA,exp,1,24,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,80,20,blue,yellow,yellow,80,20,B,3060,12162,89,no_loss,0
15NA,exp,1,25,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,40,yellow,blue,yellow,50,90,A,642,2790,289,loss,50
15NA,exp,1,26,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,70,30,yellow,blue,blue,70,30,B,5458,4528,228,no_loss,0
15NA,exp,1,27,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,yellow,40,60,A,8694,2941,69,no_loss,0
15NA,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,40,50,yellow,blue,yellow,20,90,A,3373,7075,231,loss,20
15NA,exp,1,29,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,70,90,40,blue,yellow,blue,30,70,A,8766,2828,267,loss,30
15NA,exp,1,30,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,10,yellow,blue,yellow,30,80,A,461,1830,283,loss,30
15NA,exp,1,31,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,yellow,60,70,A,1380,6891,59,no_loss,0
15NA,exp,1,32,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,70,40,blue,yellow,blue,60,80,A,1201,5776,116,loss,60
15NA,exp,1,33,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,30,yellow,blue,yellow,30,60,A,1063,7346,45,no_loss,0
15NA,exp,1,34,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,40,yellow,blue,yellow,60,80,A,718,8001,246,loss,60
15NA,exp,1,35,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,90,50,yellow,blue,blue,90,50,B,737,682,258,loss,90
15NA,exp,1,36,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,517,670,272,loss,60
15NA,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,40,40,yellow,blue,yellow,30,60,A,978,615,247,loss,30
15NA,exp,1,38,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,80,20,yellow,blue,blue,80,20,B,1242,3163,356,loss,80
15NA,exp,1,39,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,478,2577,257,no_loss,0
15NA,exp,1,40,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,50,40,20,yellow,blue,blue,40,20,B,655,2983,284,no_loss,0
15NA,exp,1,41,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,90,60,40,20,yellow,blue,yellow,90,60,A,872,3566,37,no_loss,0
15NA,exp,1,42,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,70,10,yellow,blue,yellow,10,60,A,757,3091,269,loss,10
15NA,exp,1,43,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,80,20,yellow,blue,yellow,50,70,A,490,6957,60,no_loss,0
15NA,exp,1,44,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,100,30,yellow,blue,blue,100,30,B,510,13797,129,no_loss,0
15NA,exp,1,45,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,yellow,90,20,B,926,12543,101,no_loss,0
15NA,exp,1,46,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,50,100,10,blue,yellow,yellow,100,10,B,829,7272,131,no_loss,0
15NA,exp,1,47,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,40,30,yellow,blue,yellow,30,80,A,719,9675,233,loss,30
15NA,exp,1,48,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,80,30,yellow,blue,yellow,40,90,A,594,5219,127,loss,40
15NA,exp,1,49,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,70,30,blue,yellow,blue,50,50,A,622,8070,118,no_loss,0
15NA,exp,1,50,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,1298,16002,26,no_loss,0
15NA,exp,1,51,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,100,30,yellow,blue,blue,100,30,B,1105,4065,47,no_loss,0
15NA,exp,1,52,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,669,6373,330,loss,70
15NA,exp,1,53,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,80,20,yellow,blue,yellow,30,60,A,536,7124,266,loss,30
15NA,exp,1,54,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,40,yellow,blue,blue,100,40,B,530,5689,5,no_loss,0
15NA,exp,1,55,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,50,80,40,blue,yellow,yellow,80,40,B,696,4845,347,loss,80
15NA,exp,1,56,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,100,20,yellow,blue,blue,100,20,B,700,4633,243,no_loss,0
15NA,exp,1,57,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,blue,50,90,A,996,18217,290,loss,50
15NA,exp,1,58,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,1132,4611,246,loss,80
15NA,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,50,20,blue,yellow,yellow,50,20,B,1193,8878,232,no_loss,0
15NA,exp,1,60,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,50,70,40,blue,yellow,blue,60,50,A,806,3118,320,loss,60
15NA,exp,1,61,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,70,60,10,yellow,blue,yellow,10,70,A,3486,4091,105,no_loss,0
15NA,exp,1,62,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,80,90,20,blue,yellow,yellow,90,20,B,609,7399,6,no_loss,0
15NA,exp,1,63,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,80,40,yellow,blue,blue,80,40,B,7248,7749,170,no_loss,0
15NA,exp,1,64,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,blue,80,90,A,6282,6702,327,loss,80
15NA,exp,1,65,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,70,40,yellow,blue,blue,70,40,B,1133,5203,268,loss,70
15NA,exp,1,66,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,80,60,10,yellow,blue,yellow,80,80,A,565,3869,106,loss,80
15NA,exp,1,67,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,100,30,blue,yellow,yellow,100,30,B,18214,3659,169,no_loss,0
15NA,exp,1,68,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,50,50,yellow,blue,blue,50,50,B,761,4079,120,no_loss,0
15NA,exp,1,69,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,20,blue,yellow,yellow,70,20,B,784,4738,11,no_loss,0
15NA,exp,1,70,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,50,40,blue,yellow,blue,40,70,A,11013,20609,310,loss,40
15NA,exp,1,71,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,1675,5448,31,no_loss,0
15NA,exp,1,72,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,90,50,yellow,blue,blue,90,50,B,5357,6820,343,loss,90
15NA,exp,1,73,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,90,80,70,50,blue,yellow,blue,90,80,A,1115,3005,211,loss,90
15NA,exp,1,74,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,50,60,yellow,blue,yellow,80,90,A,897,3399,53,loss,80
15NA,exp,1,75,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,5066,7830,72,no_loss,0
15NA,exp,1,76,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,60,90,20,yellow,blue,blue,90,20,B,1778,5654,322,loss,90
15NA,exp,1,77,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,blue,90,50,B,888,12208,230,loss,90
15NA,exp,1,78,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,90,30,blue,yellow,yellow,90,30,B,2649,3333,119,no_loss,0
15NA,exp,1,79,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,100,20,blue,yellow,yellow,100,20,B,723,3000,219,no_loss,0
15NA,exp,1,80,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1152,3154,117,no_loss,0
15NA,exp,1,81,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,100,20,yellow,blue,blue,100,20,B,726,3933,285,no_loss,0
