subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
18IA,practice,1,1,508,764,418,none,none
18IA,practice,1,1,514,762,420,none,none
18IA,practice,1,1,529,760,423,none,none
18IA,practice,1,1,546,756,426,none,none
18IA,practice,1,1,563,749,428,choice-button-left,B_choice_button
18IA,practice,1,1,579,746,428,choice-button-left,B_choice_button
18IA,practice,1,1,596,741,428,choice-button-left,B_choice_button
18IA,practice,1,1,612,732,427,choice-button-left,B_choice_button
18IA,practice,1,1,629,726,424,choice-button-left,B_choice_button
18IA,practice,1,1,646,716,412,choice-button-left,B_choice_button
18IA,practice,1,1,662,705,403,choice-button-left,B_choice_button
18IA,practice,1,1,679,693,388,none,none
18IA,practice,1,1,696,685,380,none,none
18IA,practice,1,1,713,677,369,none,none
18IA,practice,1,1,730,667,351,none,none
18IA,practice,1,1,747,661,337,none,none
18IA,practice,1,1,762,653,314,none,none
18IA,practice,1,1,779,648,300,none,none
18IA,practice,1,1,796,640,281,none,none
18IA,practice,1,1,813,634,271,left-top,B_amount
18IA,practice,1,1,830,630,262,left-top,B_amount
18IA,practice,1,1,865,616,233,left-top,B_amount
18IA,practice,1,1,879,611,224,left-top,B_amount
18IA,practice,1,1,896,604,214,left-top,B_amount
18IA,practice,1,1,913,594,201,left-top,B_amount
18IA,practice,1,1,930,590,196,left-top,B_amount
18IA,practice,1,1,946,585,192,left-top,B_amount
18IA,practice,1,1,963,580,188,left-top,B_amount
18IA,practice,1,1,979,578,187,left-top,B_amount
18IA,practice,1,1,1002,575,184,left-top,B_amount
18IA,practice,1,1,1013,573,183,left-top,B_amount
18IA,practice,1,1,1029,572,183,left-top,B_amount
18IA,practice,1,1,1105,571,183,left-top,B_amount
18IA,practice,1,1,1264,571,184,left-top,B_amount
18IA,practice,1,1,1312,571,185,left-top,B_amount
18IA,practice,1,1,1331,572,187,left-top,B_amount
18IA,practice,1,1,1407,572,188,left-top,B_amount
18IA,practice,1,1,1517,572,189,left-top,B_amount
18IA,practice,1,1,1562,572,190,left-top,B_amount
18IA,practice,1,1,1579,576,192,left-top,B_amount
18IA,practice,1,1,1596,589,197,left-top,B_amount
18IA,practice,1,1,1613,612,204,left-top,B_amount
18IA,practice,1,1,1630,673,216,none,none
18IA,practice,1,1,1646,728,224,none,none
18IA,practice,1,1,1662,813,233,none,none
18IA,practice,1,1,1679,862,239,none,none
18IA,practice,1,1,1696,910,246,right-top,A_amount
18IA,practice,1,1,1713,928,248,right-top,A_amount
18IA,practice,1,1,1729,939,250,right-top,A_amount
18IA,practice,1,1,1746,945,251,right-top,A_amount
18IA,practice,1,1,1762,949,251,right-top,A_amount
18IA,practice,1,1,1779,956,251,right-top,A_amount
18IA,practice,1,1,1796,960,251,right-top,A_amount
18IA,practice,1,1,1813,966,250,right-top,A_amount
18IA,practice,1,1,1829,970,249,right-top,A_amount
18IA,practice,1,1,1846,973,248,right-top,A_amount
18IA,practice,1,1,1862,976,247,right-top,A_amount
18IA,practice,1,1,1888,976,246,right-top,A_amount
18IA,practice,1,1,1929,976,245,right-top,A_amount
18IA,practice,1,1,1950,976,244,right-top,A_amount
18IA,practice,1,1,2020,975,244,right-top,A_amount
18IA,practice,1,1,2259,975,245,right-top,A_amount
18IA,practice,1,1,2296,972,248,right-top,A_amount
18IA,practice,1,1,2313,968,254,right-top,A_amount
18IA,practice,1,1,2329,941,274,right-top,A_amount
18IA,practice,1,1,2346,919,290,right-top,A_amount
18IA,practice,1,1,2364,861,336,none,none
18IA,practice,1,1,2379,813,378,choice-button-right,A_choice_button
18IA,practice,1,1,2396,768,425,none,none
