subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
20UP,practice,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,50,90,20,yellow,blue,yellow,30,50,A,2130,6463,36,no_loss,0
20UP,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,3485,13767,226,loss,50
20UP,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,blue,100,10,B,1073,11768,270,no_loss,0
20UP,practice,1,4,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,2621,4233,258,loss,30
20UP,practice,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,70,40,blue,yellow,yellow,70,40,B,1125,8982,237,loss,70
20UP,practice,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,70,30,yellow,blue,blue,70,30,B,971,7599,7,no_loss,0
20UP,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,1581,3316,52,no_loss,0
20UP,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,50,70,20,yellow,blue,blue,70,20,B,1190,6716,20,no_loss,0
20UP,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,40,blue,yellow,yellow,60,40,B,1271,4449,190,no_loss,0
20UP,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,70,30,blue,yellow,yellow,70,30,B,2290,5816,254,loss,70
20UP,exp,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,80,50,yellow,blue,blue,80,50,B,1556,8783,241,loss,80
20UP,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,50,yellow,blue,blue,90,50,B,1121,5033,222,loss,90
20UP,exp,1,7,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,blue,20,50,B,1820,5100,188,loss,20
20UP,exp,1,8,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,90,40,yellow,blue,blue,90,40,B,905,30932,161,no_loss,0
20UP,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,6822,5933,338,loss,100
20UP,exp,1,10,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,70,40,yellow,blue,yellow,60,80,A,1504,6216,161,loss,60
20UP,exp,1,11,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,100,30,blue,yellow,yellow,100,30,B,922,3414,12,no_loss,0
20UP,exp,1,12,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,707,3433,17,no_loss,0
20UP,exp,1,13,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,blue,100,10,B,804,4483,198,no_loss,0
20UP,exp,1,14,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,60,40,20,blue,yellow,yellow,40,20,B,837,2815,111,no_loss,0
20UP,exp,1,15,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,70,30,yellow,blue,blue,70,30,B,1170,4783,206,no_loss,0
20UP,exp,1,16,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,60,80,yellow,blue,blue,60,80,B,903,4266,283,loss,60
20UP,exp,1,17,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,40,50,yellow,blue,blue,40,50,B,923,3965,340,loss,40
20UP,exp,1,18,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,blue,60,10,B,1302,6167,276,no_loss,0
20UP,exp,1,19,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,80,40,yellow,blue,blue,80,40,B,854,4650,49,no_loss,0
20UP,exp,1,20,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,50,50,blue,yellow,yellow,50,50,B,1188,12600,289,loss,50
