subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
20UP,practice,1,1,685,718,445,none,none
20UP,practice,1,1,700,715,445,none,none
20UP,practice,1,1,716,712,443,none,none
20UP,practice,1,1,733,707,440,choice-button-left,B_choice_button
20UP,practice,1,1,749,700,434,choice-button-left,B_choice_button
20UP,practice,1,1,766,689,425,choice-button-left,B_choice_button
20UP,practice,1,1,783,668,404,none,none
20UP,practice,1,1,800,656,389,none,none
20UP,practice,1,1,816,641,369,none,none
20UP,practice,1,1,833,628,352,none,none
20UP,practice,1,1,850,617,339,none,none
20UP,practice,1,1,867,609,329,none,none
20UP,practice,1,1,883,602,323,none,none
20UP,practice,1,1,901,596,319,none,none
20UP,practice,1,1,916,592,316,left-top,B_prob
20UP,practice,1,1,933,589,315,left-top,B_prob
20UP,practice,1,1,950,588,315,left-top,B_prob
20UP,practice,1,1,966,588,315,left-top,B_prob
20UP,practice,1,1,983,588,315,left-top,B_prob
20UP,practice,1,1,999,587,315,left-top,B_prob
20UP,practice,1,1,1016,587,314,left-top,B_prob
20UP,practice,1,1,1033,587,314,left-top,B_prob
20UP,practice,1,1,1049,586,314,left-top,B_prob
20UP,practice,1,1,1066,585,314,left-top,B_prob
20UP,practice,1,1,1083,584,313,left-top,B_prob
20UP,practice,1,1,1099,582,311,left-top,B_prob
20UP,practice,1,1,1116,579,308,left-top,B_prob
20UP,practice,1,1,1133,576,304,left-top,B_prob
20UP,practice,1,1,1149,575,301,left-top,B_prob
20UP,practice,1,1,1166,573,297,left-top,B_prob
20UP,practice,1,1,1183,571,290,left-top,B_prob
20UP,practice,1,1,1199,570,285,left-top,B_prob
20UP,practice,1,1,1216,569,281,left-top,B_prob
20UP,practice,1,1,1233,569,279,left-top,B_prob
20UP,practice,1,1,1249,569,277,left-top,B_prob
20UP,practice,1,1,1266,569,277,left-top,B_prob
20UP,practice,1,1,1283,569,276,left-top,B_prob
20UP,practice,1,1,1299,569,276,left-top,B_prob
20UP,practice,1,1,1507,570,276,left-top,B_prob
20UP,practice,1,1,1516,573,276,left-top,B_prob
20UP,practice,1,1,1533,586,277,left-top,B_prob
20UP,practice,1,1,1550,626,277,none,none
20UP,practice,1,1,1566,683,271,none,none
20UP,practice,1,1,1582,768,261,none,none
20UP,practice,1,1,1600,866,258,right-top,B_amount
20UP,practice,1,1,1616,960,258,right-top,B_amount
20UP,practice,1,1,1633,1013,270,right-top,B_amount
20UP,practice,1,1,1650,1052,285,none,none
20UP,practice,1,1,1667,1077,296,none,none
20UP,practice,1,1,1683,1095,305,none,none
20UP,practice,1,1,1700,1101,309,none,none
20UP,practice,1,1,1716,1102,310,none,none
20UP,practice,1,1,1733,1102,310,none,none
20UP,practice,1,1,1750,1100,311,none,none
20UP,practice,1,1,1767,1095,312,none,none
20UP,practice,1,1,1783,1091,313,none,none
20UP,practice,1,1,1800,1087,313,none,none
20UP,practice,1,1,1816,1084,313,none,none
20UP,practice,1,1,1833,1082,313,none,none
20UP,practice,1,1,1850,1078,313,none,none
20UP,practice,1,1,1867,1073,311,none,none
20UP,practice,1,1,1883,1061,306,none,none
20UP,practice,1,1,1900,1039,297,none,none
20UP,practice,1,1,1917,1011,287,right-top,B_amount
20UP,practice,1,1,1933,986,279,right-top,B_amount
20UP,practice,1,1,1950,932,265,right-top,B_amount
20UP,practice,1,1,1966,903,260,right-top,B_amount
20UP,practice,1,1,1983,881,258,right-top,B_amount
20UP,practice,1,1,2000,870,257,right-top,B_amount
20UP,practice,1,1,2016,861,256,right-top,B_amount
20UP,practice,1,1,2033,857,256,right-top,B_amount
20UP,practice,1,1,2050,855,256,right-top,B_amount
20UP,practice,1,1,2066,855,255,right-top,B_amount
20UP,practice,1,1,2331,854,255,right-top,B_amount
20UP,practice,1,1,2350,835,255,right-top,B_amount
20UP,practice,1,1,2367,783,249,none,none
20UP,practice,1,1,2383,739,244,none,none
20UP,practice,1,1,2400,674,238,none,none
20UP,practice,1,1,2416,635,237,none,none
20UP,practice,1,1,2433,599,236,left-top,B_prob
20UP,practice,1,1,2450,584,235,left-top,B_prob
20UP,practice,1,1,2466,566,235,left-top,B_prob
20UP,practice,1,1,2483,563,235,left-top,B_prob
20UP,practice,1,1,2500,555,235,left-top,B_prob
20UP,practice,1,1,2516,552,235,left-top,B_prob
20UP,practice,1,1,2533,549,235,left-top,B_prob
20UP,practice,1,1,2550,547,235,left-top,B_prob
20UP,practice,1,1,2566,546,236,left-top,B_prob
20UP,practice,1,1,2583,545,236,left-top,B_prob
20UP,practice,1,1,2600,545,236,left-top,B_prob
20UP,practice,1,1,2616,545,236,left-top,B_prob
20UP,practice,1,1,2710,545,236,left-top,B_prob
20UP,practice,1,1,2717,545,236,left-top,B_prob
20UP,practice,1,1,2733,545,236,left-top,B_prob
20UP,practice,1,1,2750,546,237,left-top,B_prob
20UP,practice,1,1,2767,547,237,left-top,B_prob
