subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
23UR,practice,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,blue,80,50,B,1803,11879,298,loss,80
23UR,practice,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,70,80,20,yellow,blue,yellow,40,70,A,782,13951,336,loss,40
23UR,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,80,20,yellow,blue,yellow,10,80,A,1318,6282,281,loss,10
23UR,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,50,40,yellow,blue,blue,50,40,B,881,7035,318,loss,50
23UR,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,748,1652,161,no_loss,0
23UR,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,80,30,blue,yellow,blue,60,80,A,1152,583,123,loss,60
23UR,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,70,60,50,yellow,blue,blue,60,50,B,1034,4344,13,no_loss,0
23UR,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,80,20,blue,yellow,yellow,80,20,B,1733,2588,330,loss,80
23UR,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,40,yellow,blue,blue,70,40,B,798,2789,116,no_loss,0
23UR,exp,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,1032,2071,228,loss,60
23UR,exp,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,50,yellow,blue,blue,90,50,B,630,3709,136,no_loss,0
23UR,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,50,50,blue,yellow,blue,20,70,A,665,4176,222,loss,20
23UR,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,631,6182,201,no_loss,0
23UR,exp,1,8,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,90,20,blue,yellow,yellow,90,20,B,1299,3659,293,loss,90
23UR,exp,1,9,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,blue,90,20,B,949,3877,223,no_loss,0
23UR,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,90,10,yellow,blue,blue,90,10,B,661,2890,281,no_loss,0
23UR,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,blue,60,40,B,664,1971,183,no_loss,0
23UR,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,40,50,blue,yellow,blue,20,90,A,698,550,255,loss,20
23UR,exp,1,13,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,465,584,322,loss,80
23UR,exp,1,14,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,30,50,blue,yellow,yellow,30,50,B,662,500,249,loss,30
23UR,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,blue,100,10,B,499,684,52,no_loss,0
23UR,exp,1,16,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,40,yellow,blue,blue,60,40,B,614,517,174,no_loss,0
23UR,exp,1,17,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,50,40,yellow,blue,yellow,20,80,A,482,550,7,no_loss,0
23UR,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,yellow,100,10,B,581,566,83,no_loss,0
23UR,exp,1,19,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,blue,30,90,A,665,466,91,loss,30
23UR,exp,1,20,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,yellow,80,30,B,560,502,46,no_loss,0
23UR,exp,1,21,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,80,40,blue,yellow,yellow,80,40,B,680,516,2,no_loss,0
23UR,exp,1,22,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,50,30,blue,yellow,blue,40,90,A,599,634,355,loss,40
