subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
23UR,practice,1,1,488,728,444,none,none
23UR,practice,1,1,494,728,446,none,none
23UR,practice,1,1,503,727,447,none,none
23UR,practice,1,1,512,727,449,none,none
23UR,practice,1,1,518,726,451,none,none
23UR,practice,1,1,527,726,452,none,none
23UR,practice,1,1,536,725,454,none,none
23UR,practice,1,1,542,723,457,none,none
23UR,practice,1,1,551,722,458,none,none
23UR,practice,1,1,560,721,461,none,none
23UR,practice,1,1,566,718,464,none,none
23UR,practice,1,1,575,716,466,none,none
23UR,practice,1,1,584,713,467,none,none
23UR,practice,1,1,591,710,469,none,none
23UR,practice,1,1,599,706,470,choice-button-left,B_choice_button
23UR,practice,1,1,606,702,471,choice-button-left,B_choice_button
23UR,practice,1,1,616,697,471,choice-button-left,B_choice_button
23UR,practice,1,1,621,692,471,choice-button-left,B_choice_button
23UR,practice,1,1,631,684,471,choice-button-left,B_choice_button
23UR,practice,1,1,639,678,471,choice-button-left,B_choice_button
23UR,practice,1,1,648,672,468,choice-button-left,B_choice_button
23UR,practice,1,1,655,665,464,choice-button-left,B_choice_button
23UR,practice,1,1,663,654,456,choice-button-left,B_choice_button
23UR,practice,1,1,671,645,449,none,none
23UR,practice,1,1,678,637,440,none,none
23UR,practice,1,1,687,627,430,none,none
23UR,practice,1,1,696,617,418,none,none
23UR,practice,1,1,703,613,412,none,none
23UR,practice,1,1,711,604,399,none,none
23UR,practice,1,1,719,596,388,none,none
23UR,practice,1,1,727,590,376,none,none
23UR,practice,1,1,735,588,371,none,none
23UR,practice,1,1,744,584,362,none,none
23UR,practice,1,1,751,583,359,none,none
23UR,practice,1,1,760,580,350,none,none
23UR,practice,1,1,767,579,345,none,none
23UR,practice,1,1,775,578,340,none,none
23UR,practice,1,1,783,578,337,none,none
23UR,practice,1,1,792,578,334,left-top,B_prob
23UR,practice,1,1,876,578,331,left-top,B_prob
23UR,practice,1,1,879,580,311,left-top,B_prob
23UR,practice,1,1,880,580,310,left-top,B_prob
23UR,practice,1,1,887,580,309,left-top,B_prob
23UR,practice,1,1,896,580,308,left-top,B_prob
23UR,practice,1,1,903,580,308,left-top,B_prob
23UR,practice,1,1,912,580,307,left-top,B_prob
23UR,practice,1,1,919,579,306,left-top,B_prob
23UR,practice,1,1,928,578,305,left-top,B_prob
23UR,practice,1,1,936,576,304,left-top,B_prob
23UR,practice,1,1,943,573,302,left-top,B_prob
23UR,practice,1,1,950,566,298,left-top,B_prob
23UR,practice,1,1,958,561,295,left-top,B_prob
23UR,practice,1,1,967,553,290,left-top,B_prob
23UR,practice,1,1,975,544,286,left-top,B_prob
23UR,practice,1,1,983,535,280,left-top,B_prob
