subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
23VA,practice,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,50,blue,yellow,blue,60,70,A,15432,6189,206,loss,60
23VA,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,2553,5314,38,no_loss,0
23VA,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,40,40,yellow,blue,blue,40,40,B,4391,8200,106,no_loss,0
23VA,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,50,90,20,blue,yellow,yellow,90,20,B,4005,8133,85,no_loss,0
23VA,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,6237,5814,161,no_loss,0
23VA,practice,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,40,yellow,blue,blue,40,40,B,990,5248,47,no_loss,0
23VA,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,3832,3598,98,no_loss,0
23VA,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,60,40,yellow,blue,blue,60,40,B,3389,2616,260,loss,60
23VA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,70,20,yellow,blue,yellow,30,60,A,987,2783,3,no_loss,0
23VA,exp,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,90,20,yellow,blue,blue,90,20,B,6673,4032,149,no_loss,0
23VA,exp,1,5,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,60,80,blue,yellow,yellow,60,80,B,1007,3698,42,no_loss,0
23VA,exp,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,60,20,blue,yellow,yellow,60,20,B,856,2732,154,no_loss,0
23VA,exp,1,7,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,70,30,yellow,blue,blue,70,30,B,806,6147,129,no_loss,0
23VA,exp,1,8,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,70,10,blue,yellow,yellow,70,10,B,22493,2312,11,no_loss,0
23VA,exp,1,9,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,43526,2281,352,loss,30
