subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
23VA,practice,1,1,1936,625,344,left-top,A_amount
23VA,practice,1,1,2703,1008,350,right-top,A_prob
23VA,practice,1,1,3538,1005,744,right-bottom,B_prob
23VA,practice,1,1,4105,621,777,left-bottom,B_amount
23VA,practice,1,1,6155,767,543,choice-button-left,A_choice_button
23VA,practice,1,2,1497,585,334,left-top,A_amount
23VA,practice,1,2,2665,984,367,right-top,A_prob
23VA,practice,1,2,3481,612,774,left-bottom,B_amount
23VA,practice,1,2,4148,993,737,right-bottom,B_prob
23VA,practice,1,2,5281,849,557,choice-button-right,B_choice_button
23VA,practice,1,3,1482,994,777,right-bottom,A_prob
23VA,practice,1,3,2299,591,763,left-bottom,B_prob
23VA,practice,1,3,3115,996,363,right-top,A_amount
23VA,practice,1,3,3782,569,381,left-top,B_amount
23VA,practice,1,3,4883,609,730,left-bottom,B_prob
23VA,practice,1,3,5316,995,806,right-bottom,A_prob
23VA,practice,1,3,6331,594,749,left-bottom,B_prob
23VA,practice,1,3,8166,745,539,choice-button-left,B_choice_button
23VA,practice,1,4,998,618,372,left-top,A_prob
23VA,practice,1,4,1832,1028,385,right-top,A_amount
23VA,practice,1,4,2782,653,354,left-top,A_prob
23VA,practice,1,4,3648,1047,382,right-top,A_amount
23VA,practice,1,4,4532,610,787,left-bottom,B_prob
23VA,practice,1,4,5799,981,787,right-bottom,B_amount
23VA,practice,1,4,8099,832,549,choice-button-right,B_choice_button
23VA,practice,1,5,1031,969,412,right-top,A_prob
23VA,practice,1,5,1582,550,349,left-top,A_amount
23VA,practice,1,5,2782,595,740,left-bottom,B_amount
23VA,practice,1,5,3798,1012,736,right-bottom,B_prob
23VA,practice,1,5,5781,832,547,choice-button-right,B_choice_button
23VA,practice,1,6,1432,1007,339,right-top,A_prob
23VA,practice,1,6,2014,1001,782,right-bottom,A_amount
23VA,practice,1,6,3448,645,402,left-top,B_prob
23VA,practice,1,6,4048,612,781,left-bottom,B_amount
23VA,practice,1,6,5214,746,546,choice-button-left,B_choice_button
23VA,exp,1,1,998,614,374,left-top,A_prob
23VA,exp,1,1,1632,1014,362,right-top,A_amount
23VA,exp,1,1,2366,664,797,left-bottom,B_prob
23VA,exp,1,1,2882,1021,758,right-bottom,B_amount
23VA,exp,1,1,3564,840,520,choice-button-right,B_choice_button
23VA,exp,1,2,965,642,744,left-bottom,B_prob
23VA,exp,1,2,1398,914,758,right-bottom,A_prob
23VA,exp,1,2,2114,595,770,left-bottom,B_prob
23VA,exp,1,2,2582,755,538,choice-button-left,B_choice_button
23VA,exp,1,3,1134,996,752,right-bottom,A_prob
23VA,exp,1,3,1333,1009,377,right-top,B_prob
23VA,exp,1,3,2750,832,541,choice-button-right,A_choice_button
23VA,exp,1,4,998,639,763,left-bottom,B_prob
23VA,exp,1,4,1382,1038,766,right-bottom,A_prob
23VA,exp,1,4,2532,638,348,left-top,B_amount
23VA,exp,1,4,3283,723,527,none,none
23VA,exp,1,4,3999,736,542,choice-button-left,B_choice_button
23VA,exp,1,5,1032,1015,411,right-top,A_prob
23VA,exp,1,5,1349,1024,841,none,none
23VA,exp,1,5,1848,1010,798,right-bottom,B_prob
23VA,exp,1,5,3665,859,536,choice-button-right,B_choice_button
23VA,exp,1,6,181,786,553,none,none
23VA,exp,1,6,1331,603,403,left-top,A_prob
23VA,exp,1,6,1614,1002,358,right-top,B_prob
23VA,exp,1,6,2698,829,556,choice-button-right,B_choice_button
23VA,exp,1,7,1682,972,775,right-bottom,A_prob
23VA,exp,1,7,2749,573,752,left-bottom,B_prob
23VA,exp,1,7,4232,958,757,right-bottom,A_prob
23VA,exp,1,7,5050,695,719,none,none
23VA,exp,1,7,5549,617,761,left-bottom,B_prob
23VA,exp,1,7,6114,756,534,choice-button-left,B_choice_button
23VA,exp,1,8,982,1007,751,right-bottom,B_prob
23VA,exp,1,8,1230,1037,371,right-top,A_prob
23VA,exp,1,8,2279,847,534,choice-button-right,B_choice_button
23VA,exp,1,9,898,999,768,right-bottom,B_prob
23VA,exp,1,9,1181,1010,326,right-top,A_prob
23VA,exp,1,9,1998,1009,765,right-bottom,B_prob
23VA,exp,1,9,2248,835,536,choice-button-right,B_choice_button
23VA,exp,1,10,1465,1011,758,right-bottom,B_prob
23VA,exp,1,10,1732,1014,340,right-top,A_prob
23VA,exp,1,10,2615,840,563,choice-button-right,B_choice_button
23VA,exp,1,11,965,591,340,left-top,A_prob
23VA,exp,1,11,1916,835,556,choice-button-right,B_choice_button
23VA,exp,1,12,1016,573,762,left-bottom,B_prob
23VA,exp,1,12,1281,1018,748,right-bottom,A_prob
23VA,exp,1,12,2014,757,524,choice-button-left,B_choice_button
23VA,exp,1,13,1215,597,399,left-top,B_prob
23VA,exp,1,13,2532,759,525,choice-button-left,B_choice_button
23VA,exp,1,14,831,655,757,left-bottom,A_prob
23VA,exp,1,14,1096,1050,719,right-bottom,B_prob
23VA,exp,1,14,2096,848,537,choice-button-right,B_choice_button
23VA,exp,1,15,645,628,757,left-bottom,A_amount
23VA,exp,1,15,1463,601,380,left-top,B_amount
23VA,exp,1,15,2364,1027,344,right-top,B_prob
23VA,exp,1,15,3014,1011,768,right-bottom,A_prob
23VA,exp,1,15,3647,748,535,choice-button-left,B_choice_button
23VA,exp,1,16,1034,579,776,left-bottom,A_prob
23VA,exp,1,16,2282,852,526,choice-button-right,B_choice_button
23VA,exp,1,17,965,645,748,left-bottom,A_prob
23VA,exp,1,17,1215,998,812,right-bottom,B_prob
23VA,exp,1,17,1897,825,537,choice-button-right,B_choice_button
23VA,exp,1,18,114,804,546,none,none
23VA,exp,1,18,981,581,392,left-top,B_prob
23VA,exp,1,18,2116,747,537,choice-button-left,B_choice_button
23VA,exp,1,19,115,795,547,none,none
23VA,exp,1,19,883,989,391,right-top,A_prob
23VA,exp,1,19,4231,843,544,choice-button-right,B_choice_button
23VA,exp,1,20,782,651,739,left-bottom,B_prob
23VA,exp,1,20,999,623,337,left-top,A_prob
23VA,exp,1,20,2265,843,550,choice-button-right,B_choice_button
23VA,exp,1,21,2115,756,559,none,none
23VA,exp,1,21,3282,752,524,choice-button-left,B_choice_button
23VA,exp,1,22,981,631,752,left-bottom,B_prob
23VA,exp,1,22,1231,635,347,left-top,A_prob
23VA,exp,1,22,2498,835,547,choice-button-right,B_choice_button
23VA,exp,1,23,781,1030,373,right-top,A_prob
23VA,exp,1,23,1064,1019,802,right-bottom,B_prob
23VA,exp,1,23,2049,825,551,choice-button-right,B_choice_button
23VA,exp,1,24,1030,971,727,right-bottom,B_prob
23VA,exp,1,24,1249,1025,366,right-top,A_prob
23VA,exp,1,24,2149,830,540,choice-button-right,B_choice_button
23VA,exp,1,25,1182,664,383,left-top,B_prob
23VA,exp,1,25,2199,743,539,choice-button-left,B_choice_button
23VA,exp,1,26,1364,656,757,left-bottom,A_prob
