subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
24Ce,practice,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,30,yellow,blue,blue,70,30,B,3378,9713,208,no_loss,0
24Ce,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,50,90,20,blue,yellow,blue,30,50,A,4813,14161,28,no_loss,0
24Ce,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,blue,100,10,B,1968,6369,131,no_loss,0
24Ce,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,80,20,yellow,blue,blue,80,20,B,1124,4778,296,loss,80
24Ce,practice,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,60,90,20,yellow,blue,blue,90,20,B,1567,7462,94,no_loss,0
24Ce,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,1369,6918,109,no_loss,0
24Ce,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,60,90,50,blue,yellow,blue,60,60,A,1742,1720,152,loss,60
24Ce,exp,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,80,20,yellow,blue,blue,80,20,B,790,1856,68,no_loss,0
24Ce,exp,1,3,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,blue,20,50,B,712,3025,155,no_loss,0
24Ce,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,100,20,blue,yellow,blue,10,90,A,889,2358,89,loss,10
