subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
24Ce,practice,1,1,738,686,462,none,none
24Ce,practice,1,1,744,683,462,none,none
24Ce,practice,1,1,759,678,462,none,none
24Ce,practice,1,1,775,672,462,none,none
24Ce,practice,1,1,792,668,461,choice-button-left,B_choice_button
24Ce,practice,1,1,809,662,461,choice-button-left,B_choice_button
24Ce,practice,1,1,825,657,460,choice-button-left,B_choice_button
24Ce,practice,1,1,843,654,459,choice-button-left,B_choice_button
24Ce,practice,1,1,859,651,459,choice-button-left,B_choice_button
24Ce,practice,1,1,875,640,453,choice-button-left,B_choice_button
24Ce,practice,1,1,892,628,446,choice-button-left,B_choice_button
24Ce,practice,1,1,909,608,427,none,none
24Ce,practice,1,1,926,596,417,none,none
24Ce,practice,1,1,942,582,402,none,none
24Ce,practice,1,1,960,563,381,none,none
24Ce,practice,1,1,976,556,373,none,none
24Ce,practice,1,1,992,544,359,none,none
24Ce,practice,1,1,1009,538,348,none,none
24Ce,practice,1,1,1025,531,335,left-top,B_prob
24Ce,practice,1,1,1042,528,330,left-top,B_prob
24Ce,practice,1,1,1179,503,291,left-top,B_prob
24Ce,practice,1,1,1192,502,289,left-top,B_prob
24Ce,practice,1,1,1211,501,289,left-top,B_prob
24Ce,practice,1,1,1928,514,285,left-top,B_prob
24Ce,practice,1,1,1943,555,275,left-top,B_prob
24Ce,practice,1,1,1960,596,264,none,none
24Ce,practice,1,1,1976,651,255,none,none
24Ce,practice,1,1,1993,675,253,none,none
24Ce,practice,1,1,2010,702,252,none,none
24Ce,practice,1,1,2029,730,252,none,none
24Ce,practice,1,1,2043,744,252,none,none
24Ce,practice,1,1,2060,759,252,none,none
24Ce,practice,1,1,2079,769,251,none,none
24Ce,practice,1,1,2093,775,251,none,none
24Ce,practice,1,1,2110,785,251,none,none
24Ce,practice,1,1,2126,798,252,right-top,B_amount
24Ce,practice,1,1,2143,814,255,right-top,B_amount
24Ce,practice,1,1,2160,827,257,right-top,B_amount
24Ce,practice,1,1,2176,844,261,right-top,B_amount
24Ce,practice,1,1,2193,852,263,right-top,B_amount
24Ce,practice,1,1,2210,863,265,right-top,B_amount
24Ce,practice,1,1,2227,870,265,right-top,B_amount
24Ce,practice,1,1,2243,877,265,right-top,B_amount
24Ce,practice,1,1,2260,885,266,right-top,B_amount
24Ce,practice,1,1,2276,889,266,right-top,B_amount
24Ce,practice,1,1,2293,895,267,right-top,B_amount
24Ce,practice,1,1,2310,897,268,right-top,B_amount
24Ce,practice,1,1,2327,898,268,right-top,B_amount
24Ce,practice,1,1,2533,898,269,right-top,B_amount
24Ce,practice,1,1,2719,897,269,right-top,B_amount
24Ce,practice,1,1,2727,895,268,right-top,B_amount
24Ce,practice,1,1,2743,892,268,right-top,B_amount
24Ce,practice,1,1,2760,877,268,right-top,B_amount
24Ce,practice,1,1,2777,861,268,right-top,B_amount
24Ce,practice,1,1,2794,846,271,right-top,B_amount
24Ce,practice,1,1,2810,813,276,right-top,B_amount
24Ce,practice,1,1,2827,801,278,right-top,B_amount
24Ce,practice,1,1,2844,776,281,none,none
24Ce,practice,1,1,2860,760,283,none,none
24Ce,practice,1,1,2877,722,287,none,none
24Ce,practice,1,1,2894,700,291,none,none
24Ce,practice,1,1,2910,671,294,none,none
24Ce,practice,1,1,2927,647,297,none,none
24Ce,practice,1,1,2944,633,298,none,none
24Ce,practice,1,1,2960,615,300,none,none
24Ce,practice,1,1,2977,604,302,none,none
24Ce,practice,1,1,2996,572,310,none,none
24Ce,practice,1,1,3011,559,314,left-top,B_prob
24Ce,practice,1,1,3027,544,318,left-top,B_prob
24Ce,practice,1,1,3044,530,322,left-top,B_prob
24Ce,practice,1,1,3060,525,322,left-top,B_prob
24Ce,practice,1,1,3077,518,323,left-top,B_prob
24Ce,practice,1,1,3094,506,324,left-top,B_prob
24Ce,practice,1,1,3110,480,327,left-top,B_prob
24Ce,practice,1,1,3127,469,329,left-top,B_prob
24Ce,practice,1,1,3143,456,330,left-top,B_prob
24Ce,practice,1,1,3160,450,330,left-top,B_prob
24Ce,practice,1,1,3177,446,330,left-top,B_prob
24Ce,practice,1,1,3194,441,328,left-top,B_prob
24Ce,practice,1,1,3211,439,328,left-top,B_prob
24Ce,practice,1,1,3227,436,327,left-top,B_prob
24Ce,practice,1,1,3251,435,327,left-top,B_prob
24Ce,practice,1,1,3269,434,327,left-top,B_prob
24Ce,practice,1,1,3345,435,327,left-top,B_prob
24Ce,practice,1,1,3364,436,328,left-top,B_prob
24Ce,practice,1,1,3377,437,328,left-top,B_prob
24Ce,practice,1,1,3394,440,332,left-top,B_prob
