subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
25KA,practice,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,80,20,yellow,blue,blue,80,20,B,2404,12174,125,no_loss,0
25KA,practice,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,90,20,yellow,blue,yellow,20,80,A,1567,1198,40,no_loss,0
25KA,practice,1,3,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,70,20,blue,yellow,yellow,70,20,B,1140,3978,203,no_loss,0
25KA,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,blue,20,60,A,1252,1606,127,no_loss,0
25KA,practice,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,100,30,yellow,blue,yellow,30,50,A,755,758,244,loss,30
25KA,practice,1,6,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,30,50,yellow,blue,yellow,50,70,A,4258,7679,89,no_loss,0
25KA,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,40,50,yellow,blue,blue,40,50,B,4581,5430,4,no_loss,0
25KA,exp,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,70,40,blue,yellow,yellow,70,40,B,676,6910,244,loss,70
25KA,exp,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,20,yellow,blue,blue,70,20,B,811,4085,264,no_loss,0
25KA,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,70,50,40,blue,yellow,yellow,50,40,B,743,3643,228,loss,50
25KA,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,90,80,30,yellow,blue,blue,80,30,B,635,4419,287,loss,80
25KA,exp,1,6,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,90,50,60,blue,yellow,yellow,50,60,B,776,4615,183,loss,50
25KA,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,yellow,60,50,B,908,5580,321,loss,60
25KA,exp,1,8,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,100,20,yellow,blue,blue,100,20,B,684,3880,80,no_loss,0
25KA,exp,1,9,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,90,50,yellow,blue,yellow,40,80,A,624,4115,112,loss,40
25KA,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,80,50,yellow,blue,yellow,40,60,A,555,2743,157,loss,40
25KA,exp,1,11,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,30,50,yellow,blue,blue,30,50,B,1335,9519,258,loss,30
25KA,exp,1,12,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,80,60,10,yellow,blue,blue,60,10,B,542,4117,276,no_loss,0
25KA,exp,1,13,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,60,90,50,blue,yellow,blue,60,60,A,1300,3062,347,loss,60
25KA,exp,1,14,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,70,50,yellow,blue,yellow,40,60,A,803,1206,26,no_loss,0
25KA,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,518,3653,237,no_loss,0
25KA,exp,1,16,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,80,100,30,yellow,blue,blue,100,30,B,529,7459,137,no_loss,0
25KA,exp,1,17,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,100,10,yellow,blue,blue,100,10,B,611,2760,27,no_loss,0
25KA,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,627,3665,288,no_loss,0
25KA,exp,1,19,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,641,2623,109,no_loss,0
25KA,exp,1,20,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,90,30,blue,yellow,yellow,90,30,B,1266,7906,303,loss,90
25KA,exp,1,21,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,100,20,blue,yellow,yellow,100,20,B,602,3159,142,no_loss,0
25KA,exp,1,22,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,625,3891,125,no_loss,0
25KA,exp,1,23,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,90,50,yellow,blue,yellow,60,70,A,905,5760,207,loss,60
25KA,exp,1,24,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,624,4060,246,no_loss,0
25KA,exp,1,25,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,80,20,blue,yellow,yellow,80,20,B,974,4332,299,loss,80
25KA,exp,1,26,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,80,20,yellow,blue,blue,80,20,B,2002,3861,105,no_loss,0
25KA,exp,1,27,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,50,50,yellow,blue,blue,50,50,B,460,6227,117,no_loss,0
25KA,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,50,70,30,yellow,blue,blue,70,30,B,1924,9515,228,no_loss,0
25KA,exp,1,29,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,70,40,yellow,blue,blue,70,40,B,412,3683,116,no_loss,0
25KA,exp,1,30,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,80,20,yellow,blue,blue,80,20,B,762,3720,169,no_loss,0
25KA,exp,1,31,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,738,4622,298,loss,80
25KA,exp,1,32,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,40,40,yellow,blue,blue,40,40,B,603,10321,140,no_loss,0
25KA,exp,1,33,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,70,50,yellow,blue,blue,70,50,B,662,6077,340,loss,70
25KA,exp,1,34,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,80,50,40,yellow,blue,blue,50,40,B,591,3552,66,no_loss,0
25KA,exp,1,35,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,90,20,yellow,blue,blue,90,20,B,586,4283,142,no_loss,0
25KA,exp,1,36,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,90,40,yellow,blue,blue,90,40,B,767,2945,359,loss,90
25KA,exp,1,37,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,40,blue,yellow,yellow,40,40,B,478,2580,162,no_loss,0
25KA,exp,1,38,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,40,30,yellow,blue,blue,40,30,B,512,2711,68,no_loss,0
25KA,exp,1,39,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,50,40,yellow,blue,blue,50,40,B,871,2277,188,no_loss,0
25KA,exp,1,40,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,90,60,80,yellow,blue,blue,60,80,B,583,4338,322,loss,60
25KA,exp,1,41,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,70,30,40,yellow,blue,blue,30,40,B,517,3342,215,no_loss,0
25KA,exp,1,42,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,60,90,20,yellow,blue,blue,90,20,B,566,2068,91,no_loss,0
25KA,exp,1,43,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,yellow,80,40,B,816,3601,222,loss,80
25KA,exp,1,44,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,70,20,blue,yellow,yellow,70,20,B,825,3031,142,no_loss,0
25KA,exp,1,45,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,70,60,10,yellow,blue,blue,60,10,B,582,2646,266,no_loss,0
25KA,exp,1,46,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,70,40,blue,yellow,yellow,70,40,B,522,2989,104,no_loss,0
25KA,exp,1,47,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,60,40,blue,yellow,yellow,60,40,B,605,2180,326,loss,60
25KA,exp,1,48,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,blue,40,20,B,536,3454,325,loss,40
25KA,exp,1,49,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,20,50,yellow,blue,yellow,60,70,A,492,4625,95,no_loss,0
25KA,exp,1,50,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,blue,100,10,B,622,2907,84,no_loss,0
25KA,exp,1,51,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,476,4961,198,loss,60
