subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
25KA,practice,1,1,731,720,447,none,none
25KA,practice,1,1,732,720,447,none,none
25KA,practice,1,1,743,716,445,none,none
25KA,practice,1,1,746,711,440,none,none
25KA,practice,1,1,754,705,433,choice-button-left,B_choice_button
25KA,practice,1,1,755,705,433,choice-button-left,B_choice_button
25KA,practice,1,1,762,691,416,none,none
25KA,practice,1,1,763,691,416,none,none
25KA,practice,1,1,775,680,400,none,none
25KA,practice,1,1,778,667,384,none,none
25KA,practice,1,1,786,662,375,none,none
25KA,practice,1,1,786,662,375,none,none
25KA,practice,1,1,795,642,343,none,none
25KA,practice,1,1,795,642,343,none,none
25KA,practice,1,1,803,630,323,none,none
25KA,practice,1,1,803,630,323,none,none
25KA,practice,1,1,810,625,313,none,none
25KA,practice,1,1,811,625,313,none,none
25KA,practice,1,1,819,614,293,none,none
25KA,practice,1,1,819,614,293,none,none
25KA,practice,1,1,827,604,274,left-top,B_amount
25KA,practice,1,1,827,604,274,left-top,B_amount
25KA,practice,1,1,836,597,260,left-top,B_amount
25KA,practice,1,1,836,597,260,left-top,B_amount
25KA,practice,1,1,851,594,253,left-top,B_amount
25KA,practice,1,1,853,594,253,left-top,B_amount
25KA,practice,1,1,862,582,233,left-top,B_amount
25KA,practice,1,1,863,582,233,left-top,B_amount
25KA,practice,1,1,867,577,226,left-top,B_amount
25KA,practice,1,1,867,577,226,left-top,B_amount
25KA,practice,1,1,875,575,223,left-top,B_amount
25KA,practice,1,1,876,575,223,left-top,B_amount
25KA,practice,1,1,884,571,218,left-top,B_amount
25KA,practice,1,1,884,571,218,left-top,B_amount
25KA,practice,1,1,891,569,215,left-top,B_amount
25KA,practice,1,1,892,569,215,left-top,B_amount
25KA,practice,1,1,900,567,213,left-top,B_amount
25KA,practice,1,1,900,567,213,left-top,B_amount
25KA,practice,1,1,908,565,211,left-top,B_amount
25KA,practice,1,1,908,565,211,left-top,B_amount
25KA,practice,1,1,916,564,210,left-top,B_amount
25KA,practice,1,1,916,564,210,left-top,B_amount
25KA,practice,1,1,924,563,209,left-top,B_amount
25KA,practice,1,1,925,563,209,left-top,B_amount
25KA,practice,1,1,933,563,208,left-top,B_amount
25KA,practice,1,1,933,563,208,left-top,B_amount
25KA,practice,1,1,941,562,208,left-top,B_amount
25KA,practice,1,1,941,562,208,left-top,B_amount
25KA,practice,1,1,949,562,208,left-top,B_amount
25KA,practice,1,1,949,562,208,left-top,B_amount
25KA,practice,1,1,957,562,208,left-top,B_amount
25KA,practice,1,1,958,562,208,left-top,B_amount
25KA,practice,1,1,966,561,207,left-top,B_amount
25KA,practice,1,1,967,561,207,left-top,B_amount
25KA,practice,1,1,974,560,207,left-top,B_amount
25KA,practice,1,1,974,560,207,left-top,B_amount
25KA,practice,1,1,982,559,207,left-top,B_amount
25KA,practice,1,1,983,559,207,left-top,B_amount
25KA,practice,1,1,990,557,206,left-top,B_amount
25KA,practice,1,1,990,557,206,left-top,B_amount
25KA,practice,1,1,998,556,206,left-top,B_amount
25KA,practice,1,1,998,556,206,left-top,B_amount
25KA,practice,1,1,1007,554,205,left-top,B_amount
25KA,practice,1,1,1007,554,205,left-top,B_amount
25KA,practice,1,1,1015,552,204,left-top,B_amount
25KA,practice,1,1,1015,552,204,left-top,B_amount
25KA,practice,1,1,1023,551,203,left-top,B_amount
25KA,practice,1,1,1023,551,203,left-top,B_amount
25KA,practice,1,1,1032,549,202,left-top,B_amount
25KA,practice,1,1,1032,549,202,left-top,B_amount
25KA,practice,1,1,1041,548,201,left-top,B_amount
25KA,practice,1,1,1041,548,201,left-top,B_amount
25KA,practice,1,1,1048,547,200,left-top,B_amount
25KA,practice,1,1,1049,547,200,left-top,B_amount
25KA,practice,1,1,1056,547,200,left-top,B_amount
25KA,practice,1,1,1056,547,200,left-top,B_amount
25KA,practice,1,1,1064,546,199,left-top,B_amount
25KA,practice,1,1,1064,546,199,left-top,B_amount
25KA,practice,1,1,1072,546,199,left-top,B_amount
25KA,practice,1,1,1073,546,199,left-top,B_amount
25KA,practice,1,1,1080,546,198,left-top,B_amount
25KA,practice,1,1,1081,546,198,left-top,B_amount
25KA,practice,1,1,1088,545,198,left-top,B_amount
25KA,practice,1,1,1089,545,198,left-top,B_amount
25KA,practice,1,1,1164,545,198,left-top,B_amount
25KA,practice,1,1,1164,545,198,left-top,B_amount
25KA,practice,1,1,1170,545,199,left-top,B_amount
25KA,practice,1,1,1171,545,199,left-top,B_amount
25KA,practice,1,1,1178,545,199,left-top,B_amount
25KA,practice,1,1,1180,545,199,left-top,B_amount
25KA,practice,1,1,1187,545,199,left-top,B_amount
25KA,practice,1,1,1188,545,199,left-top,B_amount
25KA,practice,1,1,1196,545,199,left-top,B_amount
25KA,practice,1,1,1196,545,199,left-top,B_amount
25KA,practice,1,1,1204,545,200,left-top,B_amount
25KA,practice,1,1,1204,545,200,left-top,B_amount
25KA,practice,1,1,1211,545,200,left-top,B_amount
25KA,practice,1,1,1212,545,200,left-top,B_amount
25KA,practice,1,1,1220,545,200,left-top,B_amount
25KA,practice,1,1,1220,545,200,left-top,B_amount
25KA,practice,1,1,1228,545,201,left-top,B_amount
25KA,practice,1,1,1228,545,201,left-top,B_amount
25KA,practice,1,1,1236,545,202,left-top,B_amount
25KA,practice,1,1,1237,545,202,left-top,B_amount
25KA,practice,1,1,1244,545,202,left-top,B_amount
25KA,practice,1,1,1245,545,202,left-top,B_amount
25KA,practice,1,1,1252,546,203,left-top,B_amount
25KA,practice,1,1,1253,546,203,left-top,B_amount
25KA,practice,1,1,1260,546,203,left-top,B_amount
25KA,practice,1,1,1260,546,203,left-top,B_amount
25KA,practice,1,1,1269,546,204,left-top,B_amount
25KA,practice,1,1,1269,546,204,left-top,B_amount
25KA,practice,1,1,1277,546,205,left-top,B_amount
25KA,practice,1,1,1277,546,205,left-top,B_amount
25KA,practice,1,1,1285,547,205,left-top,B_amount
25KA,practice,1,1,1286,547,205,left-top,B_amount
25KA,practice,1,1,1293,547,206,left-top,B_amount
25KA,practice,1,1,1294,547,206,left-top,B_amount
25KA,practice,1,1,1301,548,207,left-top,B_amount
25KA,practice,1,1,1301,548,207,left-top,B_amount
25KA,practice,1,1,1309,549,207,left-top,B_amount
25KA,practice,1,1,1309,549,207,left-top,B_amount
25KA,practice,1,1,1317,550,208,left-top,B_amount
25KA,practice,1,1,1318,550,208,left-top,B_amount
25KA,practice,1,1,1326,552,208,left-top,B_amount
25KA,practice,1,1,1327,552,208,left-top,B_amount
25KA,practice,1,1,1334,554,209,left-top,B_amount
25KA,practice,1,1,1334,554,209,left-top,B_amount
25KA,practice,1,1,1342,556,209,left-top,B_amount
25KA,practice,1,1,1342,556,209,left-top,B_amount
25KA,practice,1,1,1350,562,210,left-top,B_amount
25KA,practice,1,1,1350,562,210,left-top,B_amount
25KA,practice,1,1,1358,568,210,left-top,B_amount
25KA,practice,1,1,1359,568,210,left-top,B_amount
25KA,practice,1,1,1367,576,210,left-top,B_amount
25KA,practice,1,1,1367,576,210,left-top,B_amount
25KA,practice,1,1,1375,586,210,left-top,B_amount
25KA,practice,1,1,1376,586,210,left-top,B_amount
25KA,practice,1,1,1383,598,210,left-top,B_amount
25KA,practice,1,1,1384,598,210,left-top,B_amount
25KA,practice,1,1,1391,613,210,none,none
25KA,practice,1,1,1392,613,210,none,none
25KA,practice,1,1,1399,643,211,none,none
25KA,practice,1,1,1399,643,211,none,none
25KA,practice,1,1,1409,662,213,none,none
25KA,practice,1,1,1409,662,213,none,none
25KA,practice,1,1,1416,687,216,none,none
25KA,practice,1,1,1417,687,216,none,none
25KA,practice,1,1,1426,712,223,none,none
25KA,practice,1,1,1427,712,223,none,none
25KA,practice,1,1,1432,741,233,none,none
25KA,practice,1,1,1433,741,233,none,none
25KA,practice,1,1,1439,769,246,none,none
25KA,practice,1,1,1440,769,246,none,none
25KA,practice,1,1,1449,797,260,none,none
25KA,practice,1,1,1449,797,260,none,none
25KA,practice,1,1,1457,821,275,none,none
25KA,practice,1,1,1457,821,275,none,none
25KA,practice,1,1,1465,831,282,right-top,B_prob
25KA,practice,1,1,1467,831,282,right-top,B_prob
