subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
27EA,practice,1,1,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,3326,14482,129,no_loss,0
27EA,practice,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,40,20,blue,yellow,yellow,40,20,B,3152,15898,1,no_loss,0
27EA,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,50,70,30,blue,yellow,blue,20,50,A,2488,30383,309,loss,20
27EA,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,90,50,blue,yellow,yellow,90,50,B,2001,16300,71,no_loss,0
27EA,practice,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,90,30,yellow,blue,blue,90,30,B,1799,33984,266,loss,90
27EA,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,100,20,blue,yellow,yellow,100,20,B,2098,11414,251,no_loss,0
27EA,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,3382,17549,280,no_loss,0
27EA,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,90,50,yellow,blue,blue,90,50,B,1880,13699,67,no_loss,0
27EA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,90,20,yellow,blue,blue,90,20,B,957,10413,237,no_loss,0
27EA,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,70,10,yellow,blue,blue,70,10,B,1468,27602,178,no_loss,0
27EA,exp,1,5,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,80,60,10,yellow,blue,blue,60,10,B,1331,8515,153,no_loss,0
27EA,exp,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,blue,30,50,A,1252,14983,3,no_loss,0
27EA,exp,1,7,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,50,yellow,blue,blue,90,50,B,1199,6698,216,loss,90
27EA,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,90,30,yellow,blue,blue,90,30,B,1007,5747,239,no_loss,0
27EA,exp,1,9,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,50,30,blue,yellow,yellow,50,30,B,1037,4670,132,no_loss,0
27EA,exp,1,10,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,783,5013,211,no_loss,0
27EA,exp,1,11,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,blue,70,40,B,1469,6333,156,no_loss,0
27EA,exp,1,12,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,yellow,70,20,B,8533,8480,146,no_loss,0
27EA,exp,1,13,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,100,20,blue,yellow,yellow,100,20,B,799,6547,207,no_loss,0
27EA,exp,1,14,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,100,30,yellow,blue,blue,100,30,B,784,6998,88,no_loss,0
27EA,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,100,20,yellow,blue,blue,100,20,B,755,7082,158,no_loss,0
27EA,exp,1,16,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,20,blue,yellow,yellow,70,20,B,1398,15986,19,no_loss,0
27EA,exp,1,17,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,100,20,yellow,blue,yellow,30,60,A,13043,35,266,loss,30
27EA,exp,1,18,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,70,40,yellow,blue,blue,70,40,B,2594,12225,109,no_loss,0
27EA,exp,1,19,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,100,20,yellow,blue,blue,100,20,B,2035,5183,176,no_loss,0
