subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
27EA,practice,1,1,31,694,460,none,none
27EA,practice,1,1,647,695,460,choice-button-right,B_choice_button
27EA,practice,1,1,681,696,460,choice-button-right,B_choice_button
27EA,practice,1,1,698,696,460,choice-button-right,B_choice_button
27EA,practice,1,1,1014,687,450,none,none
27EA,practice,1,1,1049,678,439,none,none
27EA,practice,1,1,1061,667,428,choice-button-left,A_choice_button
27EA,practice,1,1,1078,642,402,none,none
27EA,practice,1,1,1098,626,387,none,none
27EA,practice,1,1,1111,610,371,none,none
27EA,practice,1,1,1129,594,356,none,none
27EA,practice,1,1,1148,567,330,none,none
27EA,practice,1,1,1162,558,320,left-top,A_amount
27EA,practice,1,1,1178,549,311,left-top,A_amount
27EA,practice,1,1,1209,542,305,left-top,A_amount
27EA,practice,1,1,1211,536,299,left-top,A_amount
27EA,practice,1,1,1228,524,291,left-top,A_amount
27EA,practice,1,1,1245,521,288,left-top,A_amount
27EA,practice,1,1,1261,517,286,left-top,A_amount
27EA,practice,1,1,1278,513,284,left-top,A_amount
27EA,practice,1,1,1295,511,283,left-top,A_amount
27EA,practice,1,1,1313,507,283,left-top,A_amount
27EA,practice,1,1,1330,506,283,left-top,A_amount
27EA,practice,1,1,1347,505,283,left-top,A_amount
27EA,practice,1,1,1365,504,283,left-top,A_amount
27EA,practice,1,1,1381,503,283,left-top,A_amount
27EA,practice,1,1,1397,503,283,left-top,A_amount
27EA,practice,1,1,1413,503,283,left-top,A_amount
27EA,practice,1,1,1446,503,283,left-top,A_amount
27EA,practice,1,1,2697,503,283,left-top,A_amount
27EA,practice,1,1,2730,504,283,left-top,A_amount
27EA,practice,1,1,3649,504,285,left-top,A_amount
27EA,practice,1,1,3650,504,286,left-top,A_amount
27EA,practice,1,1,3713,504,294,left-top,A_amount
27EA,practice,1,1,3730,504,302,left-top,A_amount
27EA,practice,1,1,3749,504,313,left-top,A_amount
27EA,practice,1,1,3761,504,324,left-top,A_amount
27EA,practice,1,1,3779,505,335,left-top,A_amount
27EA,practice,1,1,3798,507,356,none,none
27EA,practice,1,1,3812,507,363,none,none
27EA,practice,1,1,3830,508,370,none,none
27EA,practice,1,1,3847,508,374,none,none
27EA,practice,1,1,3865,508,378,none,none
27EA,practice,1,1,3878,508,386,none,none
27EA,practice,1,1,3897,508,392,none,none
27EA,practice,1,1,3914,508,397,none,none
27EA,practice,1,1,3929,508,403,none,none
27EA,practice,1,1,3947,508,413,none,none
27EA,practice,1,1,3963,508,416,none,none
27EA,practice,1,1,3981,508,419,none,none
27EA,practice,1,1,3994,508,422,none,none
27EA,practice,1,1,4012,508,425,none,none
27EA,practice,1,1,4030,508,432,none,none
27EA,practice,1,1,4048,508,435,none,none
27EA,practice,1,1,4065,508,439,none,none
27EA,practice,1,1,4082,508,443,none,none
27EA,practice,1,1,4097,508,446,none,none
27EA,practice,1,1,4113,508,455,none,none
27EA,practice,1,1,4132,508,461,none,none
27EA,practice,1,1,4144,508,467,none,none
27EA,practice,1,1,4164,508,475,none,none
27EA,practice,1,1,4179,507,485,none,none
27EA,practice,1,1,4196,507,504,none,none
27EA,practice,1,1,4214,506,514,none,none
27EA,practice,1,1,4231,506,523,none,none
27EA,practice,1,1,4247,506,530,none,none
27EA,practice,1,1,4263,505,535,none,none
27EA,practice,1,1,4282,504,541,none,none
27EA,practice,1,1,4296,504,543,none,none
27EA,practice,1,1,4314,504,544,none,none
27EA,practice,1,1,4330,504,545,none,none
27EA,practice,1,1,4348,504,546,none,none
27EA,practice,1,1,4361,504,548,none,none
27EA,practice,1,1,4378,504,548,none,none
27EA,practice,1,1,4396,504,549,none,none
27EA,practice,1,1,4414,504,550,none,none
27EA,practice,1,1,4430,503,550,none,none
27EA,practice,1,1,4444,502,554,none,none
27EA,practice,1,1,4463,502,556,none,none
27EA,practice,1,1,4480,501,559,left-bottom,A_prob
27EA,practice,1,1,4497,501,562,left-bottom,A_prob
27EA,practice,1,1,4515,499,565,left-bottom,A_prob
27EA,practice,1,1,4529,497,571,left-bottom,A_prob
27EA,practice,1,1,4544,495,575,left-bottom,A_prob
27EA,practice,1,1,4561,491,583,left-bottom,A_prob
27EA,practice,1,1,4578,484,594,left-bottom,A_prob
27EA,practice,1,1,4594,479,607,left-bottom,A_prob
27EA,practice,1,1,4613,476,616,left-bottom,A_prob
27EA,practice,1,1,4648,471,628,left-bottom,A_prob
27EA,practice,1,1,4663,466,638,left-bottom,A_prob
27EA,practice,1,1,4679,463,645,left-bottom,A_prob
27EA,practice,1,1,4697,460,651,left-bottom,A_prob
27EA,practice,1,1,4714,459,655,left-bottom,A_prob
27EA,practice,1,1,4731,457,658,left-bottom,A_prob
27EA,practice,1,1,4744,456,660,left-bottom,A_prob
27EA,practice,1,1,4765,456,661,left-bottom,A_prob
27EA,practice,1,1,4779,455,662,left-bottom,A_prob
27EA,practice,1,1,4797,455,663,left-bottom,A_prob
27EA,practice,1,1,4811,455,663,left-bottom,A_prob
27EA,practice,1,1,4829,455,664,left-bottom,A_prob
27EA,practice,1,1,4849,454,664,left-bottom,A_prob
27EA,practice,1,1,4863,454,664,left-bottom,A_prob
27EA,practice,1,1,4880,454,664,left-bottom,A_prob
