subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
31DA,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,80,20,blue,yellow,yellow,80,20,B,1542,8572,149,no_loss,0
31DA,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,50,90,20,blue,yellow,blue,30,50,A,1254,9332,17,no_loss,0
31DA,practice,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,50,40,yellow,blue,yellow,20,60,A,1091,7469,218,loss,20
31DA,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,yellow,20,60,A,1733,7119,158,loss,20
31DA,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,blue,50,50,A,993,2816,71,no_loss,0
31DA,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,50,20,blue,yellow,blue,10,90,A,1212,2661,309,loss,10
31DA,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,50,40,yellow,blue,blue,50,40,B,1903,35995,214,no_loss,0
31DA,exp,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,100,40,yellow,blue,yellow,30,80,A,976,2475,293,loss,30
31DA,exp,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,90,50,blue,yellow,yellow,90,50,B,787,2176,248,loss,90
31DA,exp,1,4,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,90,50,60,blue,yellow,yellow,50,60,B,910,6673,353,loss,50
31DA,exp,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,70,50,40,yellow,blue,blue,50,40,B,1233,2441,276,loss,50
31DA,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,30,yellow,blue,yellow,60,70,A,1107,3219,261,loss,60
31DA,exp,1,7,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,80,30,blue,yellow,blue,20,90,A,778,5204,168,loss,20
31DA,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,70,30,yellow,blue,yellow,10,90,A,1093,6488,261,loss,10
31DA,exp,1,9,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,60,50,blue,yellow,blue,30,70,A,977,3302,185,loss,30
31DA,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,20,yellow,blue,blue,70,20,B,1053,11811,280,no_loss,0
31DA,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,70,30,yellow,blue,yellow,50,50,A,798,6400,38,no_loss,0
31DA,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,100,20,yellow,blue,yellow,40,90,A,1180,7839,77,loss,40
31DA,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,1200,3011,42,no_loss,0
31DA,exp,1,14,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,90,30,yellow,blue,blue,90,30,B,747,4721,127,no_loss,0
31DA,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,40,20,yellow,blue,blue,40,20,B,1029,2790,175,no_loss,0
31DA,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,1063,4293,301,loss,70
31DA,exp,1,17,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,50,70,40,yellow,blue,blue,70,40,B,1042,4358,55,no_loss,0
31DA,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,657,4916,150,no_loss,0
31DA,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,991,3603,207,no_loss,0
31DA,exp,1,20,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,40,yellow,blue,blue,40,40,B,835,631,37,no_loss,0
31DA,exp,1,21,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,70,40,blue,yellow,yellow,70,40,B,665,1592,321,loss,70
31DA,exp,1,22,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,20,blue,yellow,blue,10,90,A,538,631,249,loss,10
31DA,exp,1,23,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,100,20,yellow,blue,yellow,30,90,A,584,747,107,loss,30
31DA,exp,1,24,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,30,50,blue,yellow,blue,50,70,A,1150,951,273,loss,50
31DA,exp,1,25,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,10,blue,yellow,yellow,80,10,B,442,3158,323,no_loss,0
31DA,exp,1,26,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,90,50,blue,yellow,yellow,90,50,B,967,2391,171,no_loss,0
31DA,exp,1,27,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,60,10,blue,yellow,yellow,60,10,B,821,2731,53,no_loss,0
31DA,exp,1,28,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,yellow,90,20,B,1340,3225,103,no_loss,0
