subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
31DA,practice,1,1,609,675,383,none,none
31DA,practice,1,1,624,672,386,none,none
31DA,practice,1,1,641,667,389,choice-button-left,A_choice_button
31DA,practice,1,1,657,665,391,choice-button-left,A_choice_button
31DA,practice,1,1,674,664,391,choice-button-left,A_choice_button
31DA,practice,1,1,691,663,392,choice-button-left,A_choice_button
31DA,practice,1,1,707,662,392,choice-button-left,A_choice_button
31DA,practice,1,1,724,662,392,choice-button-left,A_choice_button
31DA,practice,1,1,741,661,392,choice-button-left,A_choice_button
31DA,practice,1,1,757,660,392,choice-button-left,A_choice_button
31DA,practice,1,1,774,659,391,choice-button-left,A_choice_button
31DA,practice,1,1,790,658,391,choice-button-left,A_choice_button
31DA,practice,1,1,808,657,391,choice-button-left,A_choice_button
31DA,practice,1,1,824,656,390,choice-button-left,A_choice_button
31DA,practice,1,1,841,656,390,choice-button-left,A_choice_button
31DA,practice,1,1,857,656,390,choice-button-left,A_choice_button
31DA,practice,1,1,874,656,390,choice-button-left,A_choice_button
31DA,practice,1,1,890,655,390,choice-button-left,A_choice_button
31DA,practice,1,1,907,655,390,choice-button-left,A_choice_button
31DA,practice,1,1,924,655,390,choice-button-left,A_choice_button
31DA,practice,1,1,940,655,390,choice-button-left,A_choice_button
31DA,practice,1,1,958,655,390,choice-button-left,A_choice_button
31DA,practice,1,1,1182,645,378,choice-button-left,A_choice_button
31DA,practice,1,1,1191,633,364,choice-button-left,A_choice_button
31DA,practice,1,1,1207,624,347,none,none
31DA,practice,1,1,1224,610,303,none,none
31DA,practice,1,1,1240,598,266,none,none
31DA,practice,1,1,1257,593,246,none,none
31DA,practice,1,1,1273,593,222,none,none
31DA,practice,1,1,1291,593,221,none,none
31DA,practice,1,1,1307,593,221,none,none
31DA,practice,1,1,1387,593,221,none,none
31DA,practice,1,1,1395,593,221,none,none
31DA,practice,1,1,1407,593,221,none,none
31DA,practice,1,1,1423,593,221,none,none
31DA,practice,1,1,1440,593,223,none,none
31DA,practice,1,1,1456,592,225,none,none
31DA,practice,1,1,1473,576,230,none,none
31DA,practice,1,1,1490,542,233,left-top,A_prob
31DA,practice,1,1,1507,461,222,left-top,A_prob
31DA,practice,1,1,1523,433,206,left-top,A_prob
31DA,practice,1,1,1540,423,197,left-top,A_prob
31DA,practice,1,1,1556,414,187,left-top,A_prob
31DA,practice,1,1,1573,411,185,left-top,A_prob
31DA,practice,1,1,1590,410,185,left-top,A_prob
31DA,practice,1,1,1607,410,185,left-top,A_prob
31DA,practice,1,1,1623,411,185,left-top,A_prob
31DA,practice,1,1,1641,411,186,left-top,A_prob
31DA,practice,1,1,1656,412,187,left-top,A_prob
31DA,practice,1,1,1673,413,188,left-top,A_prob
31DA,practice,1,1,1690,417,190,left-top,A_prob
31DA,practice,1,1,1706,434,198,left-top,A_prob
31DA,practice,1,1,1723,450,203,left-top,A_prob
31DA,practice,1,1,1740,468,210,left-top,A_prob
31DA,practice,1,1,1756,474,212,left-top,A_prob
31DA,practice,1,1,1773,475,213,left-top,A_prob
31DA,practice,1,1,1790,476,213,left-top,A_prob
31DA,practice,1,1,1807,476,213,left-top,A_prob
31DA,practice,1,1,2240,476,213,left-top,A_prob
31DA,practice,1,1,2257,477,213,left-top,A_prob
31DA,practice,1,1,2273,496,206,left-top,A_prob
31DA,practice,1,1,2289,572,178,left-top,A_prob
31DA,practice,1,1,2306,621,162,none,none
31DA,practice,1,1,2323,701,156,none,none
31DA,practice,1,1,2339,747,151,none,none
31DA,practice,1,1,2356,761,153,none,none
31DA,practice,1,1,2372,809,162,right-top,B_prob
31DA,practice,1,1,2395,813,162,right-top,B_prob
31DA,practice,1,1,2406,816,163,right-top,B_prob
31DA,practice,1,1,2423,817,164,right-top,B_prob
31DA,practice,1,1,2439,819,164,right-top,B_prob
31DA,practice,1,1,2456,820,164,right-top,B_prob
31DA,practice,1,1,2472,820,165,right-top,B_prob
31DA,practice,1,1,2490,820,165,right-top,B_prob
31DA,practice,1,1,2506,820,165,right-top,B_prob
31DA,practice,1,1,2522,821,165,right-top,B_prob
31DA,practice,1,1,2539,821,166,right-top,B_prob
31DA,practice,1,1,2555,821,166,right-top,B_prob
31DA,practice,1,1,2572,821,166,right-top,B_prob
31DA,practice,1,1,2589,821,166,right-top,B_prob
31DA,practice,1,1,2606,821,167,right-top,B_prob
31DA,practice,1,1,2623,821,167,right-top,B_prob
31DA,practice,1,1,2639,821,167,right-top,B_prob
31DA,practice,1,1,2656,821,167,right-top,B_prob
