subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
31RE,practice,1,1,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,2754,5571,34,no_loss,0
31RE,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,blue,30,80,A,1808,7778,111,loss,30
31RE,practice,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,50,70,30,yellow,blue,yellow,20,50,A,1436,10622,211,loss,20
31RE,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1110,9632,346,loss,80
31RE,practice,1,5,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,1393,5843,17,no_loss,0
31RE,practice,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,1316,7331,116,no_loss,0
31RE,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,100,30,yellow,blue,yellow,40,80,A,1769,4471,141,loss,40
31RE,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,1383,4511,215,loss,50
31RE,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,80,30,yellow,blue,blue,80,30,B,1147,9529,62,no_loss,0
31RE,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,1092,8517,173,no_loss,0
31RE,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,90,50,yellow,blue,blue,90,50,B,1234,5211,78,no_loss,0
31RE,exp,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,50,40,yellow,blue,blue,50,40,B,951,7291,278,loss,50
31RE,exp,1,7,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1979,5289,170,no_loss,0
31RE,exp,1,8,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,950,6002,356,loss,30
31RE,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,50,80,40,blue,yellow,blue,50,50,A,738,6576,53,no_loss,0
31RE,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,60,90,50,yellow,blue,blue,90,50,B,993,5595,108,no_loss,0
31RE,exp,1,11,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,80,60,10,blue,yellow,yellow,60,10,B,966,4708,136,no_loss,0
31RE,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,70,50,40,blue,yellow,yellow,50,40,B,1206,6772,234,loss,50
31RE,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,934,4390,313,no_loss,0
31RE,exp,1,14,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,90,20,yellow,blue,blue,90,20,B,1216,6462,327,loss,90
31RE,exp,1,15,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,70,50,yellow,blue,blue,70,50,B,905,4578,108,no_loss,0
31RE,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,971,4952,279,loss,100
31RE,exp,1,17,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,blue,60,50,B,1200,3862,135,no_loss,0
31RE,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,100,30,blue,yellow,yellow,100,30,B,999,4595,74,no_loss,0
31RE,exp,1,19,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,50,90,20,yellow,blue,yellow,30,50,A,1627,4178,47,no_loss,0
