subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
31RE,practice,1,1,494,718,451,none,none
31RE,practice,1,1,500,714,449,none,none
31RE,practice,1,1,508,710,447,none,none
31RE,practice,1,1,516,702,443,choice-button-left,A_choice_button
31RE,practice,1,1,524,695,438,choice-button-left,A_choice_button
31RE,practice,1,1,533,684,434,choice-button-left,A_choice_button
31RE,practice,1,1,539,671,430,choice-button-left,A_choice_button
31RE,practice,1,1,549,657,428,choice-button-left,A_choice_button
31RE,practice,1,1,556,642,427,none,none
31RE,practice,1,1,660,641,425,none,none
31RE,practice,1,1,666,639,422,none,none
31RE,practice,1,1,674,636,416,none,none
31RE,practice,1,1,683,632,409,none,none
31RE,practice,1,1,690,628,400,none,none
31RE,practice,1,1,698,617,377,none,none
31RE,practice,1,1,706,613,368,none,none
31RE,practice,1,1,714,603,351,none,none
31RE,practice,1,1,722,600,344,none,none
31RE,practice,1,1,730,594,332,none,none
31RE,practice,1,1,738,587,320,left-top,A_prob
31RE,practice,1,1,794,584,313,left-top,A_prob
31RE,practice,1,1,795,578,298,left-top,A_prob
31RE,practice,1,1,800,578,296,left-top,A_prob
31RE,practice,1,1,808,578,295,left-top,A_prob
31RE,practice,1,1,817,577,292,left-top,A_prob
31RE,practice,1,1,825,577,290,left-top,A_prob
31RE,practice,1,1,833,577,289,left-top,A_prob
31RE,practice,1,1,841,576,288,left-top,A_prob
31RE,practice,1,1,848,576,287,left-top,A_prob
31RE,practice,1,1,856,576,287,left-top,A_prob
31RE,practice,1,1,864,576,287,left-top,A_prob
31RE,practice,1,1,872,576,286,left-top,A_prob
31RE,practice,1,1,881,576,286,left-top,A_prob
31RE,practice,1,1,887,575,286,left-top,A_prob
31RE,practice,1,1,896,575,286,left-top,A_prob
31RE,practice,1,1,904,575,285,left-top,A_prob
31RE,practice,1,1,912,575,285,left-top,A_prob
31RE,practice,1,1,920,574,285,left-top,A_prob
31RE,practice,1,1,928,573,284,left-top,A_prob
31RE,practice,1,1,935,572,283,left-top,A_prob
31RE,practice,1,1,943,571,282,left-top,A_prob
31RE,practice,1,1,952,571,282,left-top,A_prob
31RE,practice,1,1,959,570,281,left-top,A_prob
31RE,practice,1,1,968,570,281,left-top,A_prob
31RE,practice,1,1,975,569,281,left-top,A_prob
31RE,practice,1,1,983,569,281,left-top,A_prob
31RE,practice,1,1,1007,569,281,left-top,A_prob
31RE,practice,1,1,1231,569,281,left-top,A_prob
31RE,practice,1,1,1237,569,281,left-top,A_prob
31RE,practice,1,1,1245,569,282,left-top,A_prob
31RE,practice,1,1,1253,569,283,left-top,A_prob
31RE,practice,1,1,1260,570,285,left-top,A_prob
31RE,practice,1,1,1268,571,285,left-top,A_prob
31RE,practice,1,1,1276,572,287,left-top,A_prob
31RE,practice,1,1,1284,573,289,left-top,A_prob
31RE,practice,1,1,1292,575,290,left-top,A_prob
31RE,practice,1,1,1300,576,292,left-top,A_prob
31RE,practice,1,1,1308,578,294,left-top,A_prob
31RE,practice,1,1,1315,580,296,left-top,A_prob
31RE,practice,1,1,1324,581,297,left-top,A_prob
31RE,practice,1,1,1332,583,298,left-top,A_prob
31RE,practice,1,1,1340,586,299,left-top,A_prob
31RE,practice,1,1,1348,589,301,left-top,A_prob
31RE,practice,1,1,1356,592,302,left-top,A_prob
31RE,practice,1,1,1364,596,302,left-top,A_prob
31RE,practice,1,1,1372,599,303,left-top,A_prob
31RE,practice,1,1,1380,608,303,none,none
31RE,practice,1,1,1387,613,303,none,none
31RE,practice,1,1,1397,620,303,none,none
31RE,practice,1,1,1403,629,302,none,none
31RE,practice,1,1,1413,638,299,none,none
31RE,practice,1,1,1419,647,294,none,none
31RE,practice,1,1,1428,655,290,none,none
31RE,practice,1,1,1435,666,285,none,none
31RE,practice,1,1,1443,678,279,none,none
31RE,practice,1,1,1451,687,273,none,none
31RE,practice,1,1,1459,702,264,none,none
31RE,practice,1,1,1467,714,257,none,none
31RE,practice,1,1,1475,728,249,none,none
31RE,practice,1,1,1483,742,240,none,none
31RE,practice,1,1,1491,757,232,none,none
31RE,practice,1,1,1498,770,221,none,none
31RE,practice,1,1,1507,783,211,none,none
31RE,practice,1,1,1514,795,203,none,none
31RE,practice,1,1,1522,799,200,none,none
31RE,practice,1,1,1530,808,196,none,none
31RE,practice,1,1,1538,815,191,none,none
31RE,practice,1,1,1546,830,184,none,none
31RE,practice,1,1,1554,837,183,none,none
31RE,practice,1,1,1562,843,182,none,none
31RE,practice,1,1,1570,850,182,none,none
31RE,practice,1,1,1578,857,182,right-top,A_amount
31RE,practice,1,1,1585,860,182,right-top,A_amount
31RE,practice,1,1,1593,867,183,right-top,A_amount
31RE,practice,1,1,1601,872,185,right-top,A_amount
31RE,practice,1,1,1609,878,189,right-top,A_amount
31RE,practice,1,1,1618,883,191,right-top,A_amount
31RE,practice,1,1,1625,889,195,right-top,A_amount
31RE,practice,1,1,1633,893,199,right-top,A_amount
31RE,practice,1,1,1641,896,202,right-top,A_amount
31RE,practice,1,1,1649,900,205,right-top,A_amount
31RE,practice,1,1,1657,903,208,right-top,A_amount
31RE,practice,1,1,1665,906,211,right-top,A_amount
31RE,practice,1,1,1673,910,216,right-top,A_amount
31RE,practice,1,1,1681,913,220,right-top,A_amount
31RE,practice,1,1,1689,916,223,right-top,A_amount
31RE,practice,1,1,1696,920,227,right-top,A_amount
31RE,practice,1,1,1705,922,231,right-top,A_amount
31RE,practice,1,1,1713,926,237,right-top,A_amount
31RE,practice,1,1,1720,928,241,right-top,A_amount
31RE,practice,1,1,1728,934,250,right-top,A_amount
31RE,practice,1,1,1736,937,257,right-top,A_amount
31RE,practice,1,1,1744,940,264,right-top,A_amount
31RE,practice,1,1,1752,944,275,right-top,A_amount
31RE,practice,1,1,1760,948,286,right-top,A_amount
31RE,practice,1,1,1768,950,299,right-top,A_amount
31RE,practice,1,1,1776,955,315,right-top,A_amount
31RE,practice,1,1,1784,958,333,right-top,A_amount
31RE,practice,1,1,1792,959,352,none,none
31RE,practice,1,1,1799,961,392,none,none
31RE,practice,1,1,1808,961,403,none,none
31RE,practice,1,1,1817,961,428,none,none
31RE,practice,1,1,1823,961,453,none,none
31RE,practice,1,1,1832,961,477,none,none
31RE,practice,1,1,1839,961,502,none,none
31RE,practice,1,1,1847,961,527,none,none
31RE,practice,1,1,1855,958,549,none,none
31RE,practice,1,1,1863,955,571,right-bottom,B_amount
31RE,practice,1,1,1870,953,592,right-bottom,B_amount
31RE,practice,1,1,1880,950,611,right-bottom,B_amount
31RE,practice,1,1,1887,948,632,right-bottom,B_amount
31RE,practice,1,1,1895,947,654,right-bottom,B_amount
31RE,practice,1,1,1902,945,672,right-bottom,B_amount
