subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
31UD,practice,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,100,20,yellow,blue,blue,100,20,B,1596,13069,70,no_loss,0
31UD,practice,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,100,30,yellow,blue,blue,100,30,B,1090,6350,47,no_loss,0
31UD,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,100,20,yellow,blue,blue,100,20,B,1175,7388,197,no_loss,0
31UD,practice,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,656,8334,193,no_loss,0
31UD,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,70,40,yellow,blue,blue,70,40,B,924,6052,23,no_loss,0
31UD,practice,1,6,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,1023,3187,330,loss,30
31UD,exp,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,1618,3130,188,loss,40
31UD,exp,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,1077,4432,33,no_loss,0
31UD,exp,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,100,20,yellow,blue,blue,100,20,B,749,3984,26,no_loss,0
31UD,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,100,30,yellow,blue,yellow,30,50,A,856,3105,178,no_loss,0
31UD,exp,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,80,30,yellow,blue,blue,80,30,B,776,2852,307,loss,80
31UD,exp,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,80,20,yellow,blue,blue,80,20,B,1205,3065,342,loss,80
31UD,exp,1,7,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,60,40,yellow,blue,blue,60,40,B,994,6682,45,no_loss,0
31UD,exp,1,8,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,80,30,yellow,blue,blue,80,30,B,610,9449,158,no_loss,0
31UD,exp,1,9,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,70,50,blue,yellow,yellow,70,50,B,758,4336,224,loss,70
31UD,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,50,80,40,yellow,blue,blue,80,40,B,709,5031,123,no_loss,0
31UD,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,80,40,yellow,blue,blue,80,40,B,812,3212,261,loss,80
31UD,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,50,70,30,blue,yellow,yellow,70,30,B,461,3731,244,no_loss,0
31UD,exp,1,13,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,60,70,10,yellow,blue,blue,70,10,B,596,3836,339,loss,70
31UD,exp,1,14,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,60,40,40,yellow,blue,blue,40,40,B,1438,2702,35,no_loss,0
31UD,exp,1,15,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,70,80,20,blue,yellow,yellow,80,20,B,874,2464,192,no_loss,0
31UD,exp,1,16,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,70,40,yellow,blue,blue,70,40,B,893,2650,21,no_loss,0
31UD,exp,1,17,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,70,40,yellow,blue,blue,70,40,B,530,1999,31,no_loss,0
31UD,exp,1,18,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,50,40,blue,yellow,yellow,50,40,B,523,1787,194,no_loss,0
31UD,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,558,3033,226,no_loss,0
31UD,exp,1,20,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,yellow,90,20,B,594,2023,340,loss,90
31UD,exp,1,21,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,70,90,20,blue,yellow,yellow,90,20,B,654,1667,164,no_loss,0
31UD,exp,1,22,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,1190,3155,204,no_loss,0
31UD,exp,1,23,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,yellow,50,60,A,737,3061,100,no_loss,0
31UD,exp,1,24,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,80,20,yellow,blue,blue,80,20,B,579,2599,294,loss,80
31UD,exp,1,25,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,797,1716,215,loss,30
31UD,exp,1,26,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,20,yellow,blue,blue,70,20,B,575,2366,238,no_loss,0
31UD,exp,1,27,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,60,10,blue,yellow,yellow,60,10,B,706,2300,110,no_loss,0
31UD,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,100,20,yellow,blue,blue,100,20,B,580,1879,62,no_loss,0
31UD,exp,1,29,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,80,40,yellow,blue,blue,80,40,B,612,1803,121,no_loss,0
31UD,exp,1,30,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,40,yellow,blue,blue,60,40,B,554,3733,42,no_loss,0
31UD,exp,1,31,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,100,10,yellow,blue,blue,100,10,B,561,1996,330,loss,100
31UD,exp,1,32,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,100,20,yellow,blue,blue,100,20,B,790,2486,237,no_loss,0
31UD,exp,1,33,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,40,30,yellow,blue,blue,40,30,B,456,5366,200,no_loss,0
31UD,exp,1,34,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,100,20,yellow,blue,blue,100,20,B,577,3102,179,no_loss,0
31UD,exp,1,35,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,80,60,10,blue,yellow,yellow,60,10,B,509,2068,225,no_loss,0
31UD,exp,1,36,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,80,20,yellow,blue,blue,80,20,B,570,1917,122,no_loss,0
31UD,exp,1,37,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,80,30,yellow,blue,blue,80,30,B,594,2513,257,loss,80
31UD,exp,1,38,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,458,2201,165,no_loss,0
31UD,exp,1,39,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,80,30,yellow,blue,blue,80,30,B,542,1865,358,loss,80
31UD,exp,1,40,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,90,50,yellow,blue,blue,90,50,B,990,1932,103,no_loss,0
31UD,exp,1,41,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,60,80,blue,yellow,yellow,60,80,B,808,2482,151,loss,60
31UD,exp,1,42,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,80,60,30,yellow,blue,blue,60,30,B,562,2617,72,no_loss,0
31UD,exp,1,43,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,100,10,yellow,blue,blue,100,10,B,577,2866,185,no_loss,0
31UD,exp,1,44,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,40,40,yellow,blue,blue,40,40,B,645,4019,214,no_loss,0
31UD,exp,1,45,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,50,70,20,blue,yellow,yellow,70,20,B,556,2616,168,no_loss,0
31UD,exp,1,46,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,547,2787,88,no_loss,0
31UD,exp,1,47,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,40,yellow,blue,blue,70,40,B,838,2464,255,loss,70
31UD,exp,1,48,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,70,40,blue,yellow,yellow,70,40,B,891,2766,228,loss,70
31UD,exp,1,49,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,90,10,yellow,blue,blue,90,10,B,694,2178,208,no_loss,0
31UD,exp,1,50,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,707,2224,300,loss,30
31UD,exp,1,51,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,100,20,yellow,blue,blue,100,20,B,788,1954,9,no_loss,0
31UD,exp,1,52,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,50,blue,yellow,yellow,50,50,B,600,2025,41,no_loss,0
31UD,exp,1,53,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,80,20,yellow,blue,blue,80,20,B,616,2284,61,no_loss,0
31UD,exp,1,54,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,70,30,blue,yellow,yellow,70,30,B,561,2350,355,loss,70
31UD,exp,1,55,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,80,90,20,blue,yellow,yellow,90,20,B,635,2066,40,no_loss,0
31UD,exp,1,56,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,70,40,yellow,blue,blue,70,40,B,725,2647,99,no_loss,0
31UD,exp,1,57,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,894,2034,121,no_loss,0
31UD,exp,1,58,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,50,40,blue,yellow,yellow,50,40,B,712,2434,41,no_loss,0
31UD,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,50,50,blue,yellow,yellow,50,50,B,494,1977,3,no_loss,0
31UD,exp,1,60,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,yellow,40,20,B,650,1929,194,no_loss,0
31UD,exp,1,61,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,548,2305,167,no_loss,0
31UD,exp,1,62,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,50,60,blue,yellow,yellow,50,60,B,628,1784,253,loss,50
31UD,exp,1,63,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,70,20,blue,yellow,yellow,70,20,B,628,1906,190,no_loss,0
31UD,exp,1,64,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,100,30,blue,yellow,yellow,100,30,B,552,2397,308,loss,100
31UD,exp,1,65,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,blue,90,50,B,692,1945,283,loss,90
31UD,exp,1,66,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,1561,1812,242,loss,60
31UD,exp,1,67,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,827,2113,79,no_loss,0
31UD,exp,1,68,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,30,yellow,blue,blue,70,30,B,1108,2299,61,no_loss,0
31UD,exp,1,69,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,80,50,yellow,blue,yellow,40,60,A,638,1846,30,no_loss,0
31UD,exp,1,70,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,70,30,yellow,blue,blue,70,30,B,913,1815,317,loss,70
31UD,exp,1,71,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,100,30,yellow,blue,blue,100,30,B,690,3182,273,loss,100
31UD,exp,1,72,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,100,20,blue,yellow,yellow,100,20,B,738,2784,245,no_loss,0
31UD,exp,1,73,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,704,2319,262,loss,90
31UD,exp,1,74,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,50,yellow,blue,blue,60,50,B,517,2549,48,no_loss,0
31UD,exp,1,75,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,70,90,40,yellow,blue,blue,90,40,B,657,2338,176,no_loss,0
31UD,exp,1,76,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,609,2114,191,no_loss,0
31UD,exp,1,77,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,50,20,yellow,blue,blue,50,20,B,649,1751,205,no_loss,0
31UD,exp,1,78,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,40,yellow,blue,blue,100,40,B,878,1817,51,no_loss,0
31UD,exp,1,79,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,90,50,blue,yellow,yellow,90,50,B,670,1945,273,loss,90
31UD,exp,1,80,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,blue,80,20,B,623,2547,143,no_loss,0
31UD,exp,1,81,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,blue,20,50,B,643,1789,153,no_loss,0
31UD,exp,1,82,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,90,60,40,20,yellow,blue,blue,40,20,B,704,2472,107,no_loss,0
31UD,exp,1,83,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,50,40,20,blue,yellow,yellow,40,20,B,578,1966,17,no_loss,0
31UD,exp,1,84,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,20,yellow,blue,blue,80,20,B,969,1911,116,no_loss,0
31UD,exp,1,85,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,60,50,40,yellow,blue,blue,50,40,B,568,1881,304,loss,50
31UD,exp,1,86,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,90,30,blue,yellow,yellow,90,30,B,578,2040,352,loss,90
31UD,exp,1,87,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,60,20,yellow,blue,blue,60,20,B,465,1880,9,no_loss,0
31UD,exp,1,88,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,10,blue,yellow,yellow,80,10,B,664,1757,208,no_loss,0
31UD,exp,1,89,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,50,30,yellow,blue,blue,50,30,B,559,2033,190,no_loss,0
31UD,exp,1,90,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,50,70,30,yellow,blue,blue,70,30,B,889,2634,5,no_loss,0
