subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
31UD,practice,1,1,689,721,447,none,none
31UD,practice,1,1,701,723,443,none,none
31UD,practice,1,1,718,730,433,none,none
31UD,practice,1,1,734,744,407,none,none
31UD,practice,1,1,751,757,384,none,none
31UD,practice,1,1,767,766,366,none,none
31UD,practice,1,1,784,770,356,none,none
31UD,practice,1,1,801,773,347,none,none
31UD,practice,1,1,817,773,340,none,none
31UD,practice,1,1,834,773,334,none,none
31UD,practice,1,1,851,772,329,none,none
31UD,practice,1,1,867,770,325,none,none
31UD,practice,1,1,884,767,321,none,none
31UD,practice,1,1,901,764,318,none,none
31UD,practice,1,1,917,760,315,none,none
31UD,practice,1,1,934,758,313,none,none
31UD,practice,1,1,951,755,311,none,none
31UD,practice,1,1,967,751,309,none,none
31UD,practice,1,1,984,748,307,none,none
31UD,practice,1,1,1001,743,306,none,none
31UD,practice,1,1,1176,742,306,none,none
31UD,practice,1,1,1188,736,306,none,none
31UD,practice,1,1,1200,726,303,none,none
31UD,practice,1,1,1217,691,295,none,none
31UD,practice,1,1,1234,669,288,none,none
31UD,practice,1,1,1251,638,277,none,none
31UD,practice,1,1,1267,612,266,left-top,B_prob
31UD,practice,1,1,1284,588,255,left-top,B_prob
31UD,practice,1,1,1301,569,246,left-top,B_prob
31UD,practice,1,1,1317,561,243,left-top,B_prob
31UD,practice,1,1,1334,557,241,left-top,B_prob
31UD,practice,1,1,1351,554,241,left-top,B_prob
31UD,practice,1,1,2158,554,242,left-top,B_prob
31UD,practice,1,1,2168,554,248,left-top,B_prob
31UD,practice,1,1,2183,553,257,left-top,B_prob
31UD,practice,1,1,2201,547,284,left-top,B_prob
31UD,practice,1,1,2217,541,314,left-top,B_prob
31UD,practice,1,1,2234,535,360,none,none
31UD,practice,1,1,2251,528,405,none,none
31UD,practice,1,1,2267,519,479,none,none
31UD,practice,1,1,2284,515,522,none,none
31UD,practice,1,1,2301,512,551,none,none
31UD,practice,1,1,2317,510,570,left-bottom,B_amount
31UD,practice,1,1,2334,508,587,left-bottom,B_amount
31UD,practice,1,1,2351,507,597,left-bottom,B_amount
31UD,practice,1,1,2367,506,602,left-bottom,B_amount
31UD,practice,1,1,2384,506,604,left-bottom,B_amount
